ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,735.0770419203963,381.66752315647034,536.3298074376024,735.0770419203963,735.0770419203963,-276.4144920715587,-276.4144920715587,-276.4144920715587,-276.4144920715587,-276.4144920715587,-276.4144920715587,0.0,0.0,0.0,458.66254984883756,500.637
2001-06-30,740.2188168198859,360.5384316593134,512.3445805108502,740.2188168198859,740.2188168198859,-299.3018112393459,-299.3018112393459,-299.3018112393459,-299.3018112393459,-299.3018112393459,-299.3018112393459,0.0,0.0,0.0,440.91700558054,474.848
2001-09-30,745.4170947402489,385.93026847801735,540.9147697839622,745.4170947402489,745.4170947402489,-283.0125247488018,-283.0125247488018,-283.0125247488018,-283.0125247488018,-283.0125247488018,-283.0125247488018,0.0,0.0,0.0,462.4045699914471,498.436
2001-12-31,750.6153726606119,377.5113464660817,534.6260263201724,750.6153726606119,750.6153726606119,-296.8235073419649,-296.8235073419649,-296.8235073419649,-296.8235073419649,-296.8235073419649,-296.8235073419649,0.0,0.0,0.0,453.791865318647,502.342
2002-03-31,755.7006445347159,398.8789483249283,551.1766673745694,755.7006445347159,755.7006445347159,-278.6455676135538,-278.6455676135538,-278.6455676135538,-278.6455676135538,-278.6455676135538,-278.6455676135538,0.0,0.0,0.0,477.05507692116214,523.804
2002-06-30,760.8424194296433,377.46265869278864,532.035237870296,760.8424194296433,760.8424194296433,-307.72635298097873,-307.72635298097873,-307.72635298097873,-307.72635298097873,-307.72635298097873,-307.72635298097873,0.0,0.0,0.0,453.1160664486646,496.92301
2002-09-30,766.0406973481971,421.43329179697014,577.6417763401961,766.0406973481971,766.0406973481971,-267.83531023248935,-267.83531023248935,-267.83531023248935,-267.83531023248935,-267.83531023248935,-267.83531023248935,0.0,0.0,0.0,498.20538711570777,467.455
2002-12-31,771.2389752667509,412.9805523693222,574.0444676730037,771.2389752667509,771.2389752667509,-280.0149136025863,-280.0149136025863,-280.0149136025863,-280.0149136025863,-280.0149136025863,-280.0149136025863,0.0,0.0,0.0,491.2240616641646,494.273
2003-03-31,776.3242471435971,411.5480397007497,567.8972342246485,776.3242471435971,776.3242471435971,-289.1401899902067,-289.1401899902067,-289.1401899902067,-289.1401899902067,-289.1401899902067,-289.1401899902067,0.0,0.0,0.0,487.18405715339037,569.73
2003-06-30,781.4660220401994,392.25950688355977,551.7842273735838,781.4660220401994,781.4660220401994,-307.89467233542206,-307.89467233542206,-307.89467233542206,-307.89467233542206,-307.89467233542206,-307.89467233542206,0.0,0.0,0.0,473.57134970477733,527.197
