ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-573.0672514543536,2244.163862141166,3745.7563654880296,-573.0672514543536,-573.0672514543536,3592.8516124626053,3592.8516124626053,3592.8516124626053,3592.8516124626053,3592.8516124626053,3592.8516124626053,0.0,0.0,0.0,3019.784361008252,3266.131
2001-06-30,-557.8865120749557,2273.652771683091,3803.769975331921,-557.8865120749557,-557.8865120749557,3614.6885018274625,3614.6885018274625,3614.6885018274625,3614.6885018274625,3614.6885018274625,3614.6885018274625,0.0,0.0,0.0,3056.801989752507,3669.951
2001-09-30,-542.5389513836964,3084.716196098162,4570.821153794439,-542.5389513836964,-542.5389513836964,4375.076608127751,4375.076608127751,4375.076608127751,4375.076608127751,4375.076608127751,4375.076608127751,0.0,0.0,0.0,3832.5376567440544,4078.005
2001-12-31,-527.191390692437,3187.046373054523,4707.896657273937,-527.191390692437,-527.191390692437,4415.983403466948,4415.983403466948,4415.983403466948,4415.983403466948,4415.983403466948,4415.983403466948,0.0,0.0,0.0,3888.7920127745115,4449.675
2002-03-31,-512.177472617656,2413.534328123411,3901.2852950722495,-512.177472617656,-512.177472617656,3666.3256169763645,3666.3256169763645,3666.3256169763645,3666.3256169763645,3666.3256169763645,3666.3256169763645,0.0,0.0,0.0,3154.1481443587086,3574.025
2002-06-30,-496.9967332309329,2072.165194319217,3545.771762745221,-496.9967332309329,-496.9967332309329,3324.611105988609,3324.611105988609,3324.611105988609,3324.611105988609,3324.611105988609,3324.611105988609,0.0,0.0,0.0,2827.614372757676,2302.212
2002-09-30,-481.64917252221045,2930.4403541215743,4465.4335491499105,-481.64917252221045,-481.64917252221045,4193.565315297086,4193.565315297086,4193.565315297086,4193.565315297086,4193.565315297086,4193.565315297086,0.0,0.0,0.0,3711.916142774876,2416.029
2002-12-31,-466.30161181348797,2908.1992852759463,4438.009159016727,-466.30161181348797,-466.30161181348797,4140.070528485057,4140.070528485057,4140.070528485057,4140.070528485057,4140.070528485057,4140.070528485057,0.0,0.0,0.0,3673.7689166715695,2572.636
2003-03-31,-451.28769372886813,2568.798115024107,4098.740607795825,-451.28769372886813,-451.28769372886813,3753.8296409357945,3753.8296409357945,3753.8296409357945,3753.8296409357945,3753.8296409357945,3753.8296409357945,0.0,0.0,0.0,3302.541947206926,2473.796
2003-06-30,-436.106954333226,1751.336981446243,3320.125370133772,-436.106954333226,-436.106954333226,3025.102864422139,3025.102864422139,3025.102864422139,3025.102864422139,3025.102864422139,3025.102864422139,0.0,0.0,0.0,2588.995910088913,929.75
