ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-59957.31879947268,27136.26089951708,31084.649648569157,-59957.31879947268,-59957.31879947268,89160.8501566476,89160.8501566476,89160.8501566476,89160.8501566476,89160.8501566476,89160.8501566476,0.0,0.0,0.0,29203.53135717492,29227.782
2001-06-30,-59893.766153870034,25173.105136984803,29130.73389491055,-59893.766153870034,-59893.766153870034,86957.37288753886,86957.37288753886,86957.37288753886,86957.37288753886,86957.37288753886,86957.37288753886,0.0,0.0,0.0,27063.60673366883,25840.637
2001-09-30,-59829.51512754647,28276.92732713783,32098.832672346343,-59829.51512754647,-59829.51512754647,89926.38358827449,89926.38358827449,89926.38358827449,89926.38358827449,89926.38358827449,89926.38358827449,0.0,0.0,0.0,30096.868460728023,29971.212
2001-12-31,-59765.26410122291,26216.847044848106,29949.23091987357,-59765.26410122291,-59765.26410122291,87912.22132579565,87912.22132579565,87912.22132579565,87912.22132579565,87912.22132579565,87912.22132579565,0.0,0.0,0.0,28146.95722457274,26860.817
2002-03-31,-59702.4098362147,28103.044617838954,32101.778952476525,-59702.4098362147,-59702.4098362147,89842.93835695274,89842.93835695274,89842.93835695274,89842.93835695274,89842.93835695274,89842.93835695274,0.0,0.0,0.0,30140.528520738044,27477.112
2002-06-30,-59638.85719048417,25955.44957336156,29727.567869232327,-59638.85719048417,-59638.85719048417,87397.8923530828,87397.8923530828,87397.8923530828,87397.8923530828,87397.8923530828,87397.8923530828,0.0,0.0,0.0,27759.035162598637,25663.449
2002-09-30,-59574.60616414361,28553.258433739218,32403.66524761744,-59574.60616414361,-59574.60616414361,90056.41744183259,90056.41744183259,90056.41744183259,90056.41744183259,90056.41744183259,90056.41744183259,0.0,0.0,0.0,30481.811277688976,31052.057
2002-12-31,-59510.355137803046,26369.24185066038,30164.213918453795,-59510.355137803046,-59510.355137803046,87803.5891655752,87803.5891655752,87803.5891655752,87803.5891655752,87803.5891655752,87803.5891655752,0.0,0.0,0.0,28293.23402777216,29713.822
2003-03-31,-59447.50087290467,28746.047764224753,32743.25082896708,-59447.50087290467,-59447.50087290467,90175.38499806018,90175.38499806018,90175.38499806018,90175.38499806018,90175.38499806018,90175.38499806018,0.0,0.0,0.0,30727.884125155513,29353.333
2003-06-30,-59383.948227343026,26203.31443702548,30017.654716960576,-59383.948227343026,-59383.948227343026,87424.45587207028,87424.45587207028,87424.45587207028,87424.45587207028,87424.45587207028,87424.45587207028,0.0,0.0,0.0,28040.50764472725,26557.257
2003-09-30,-59319.69720106092,28925.377684859344,32787.279460826125,-59319.69720106092,-59319.69720106092,90205.96399250445,90205.96399250445,90205.96399250445,90205.96399250445,90205.96399250445,90205.96399250445,0.0,0.0,0.0,30886.26679144353,31002.141
2003-12-31,-59255.44617477882,26324.678560616885,30212.576927138976,-59255.44617477882,-59255.44617477882,87561.26448222736,87561.26448222736,87561.26448222736,87561.26448222736,87561.26448222736,87561.26448222736,0.0,0.0,0.0,28305.818307448535,29097.143
2004-03-31,-59191.893529218214,26981.839844535505,30967.968908731556,-59191.893529218214,-59191.893529218214,88127.92616466121,88127.92616466121,88127.92616466121,88127.92616466121,88127.92616466121,88127.92616466121,0.0,0.0,0.0,28936.032635443,30515.45882
2004-06-30,-59128.34088365761,25106.182188863688,28898.283858733812,-59128.34088365761,-59128.34088365761,86105.5943905437,86105.5943905437,86105.5943905437,86105.5943905437,86105.5943905437,86105.5943905437,0.0,0.0,0.0,26977.25350688609,26865.14499
2004-09-30,-59064.08985760166,28913.338555568127,32597.254313626123,-59064.08985760166,-59064.08985760166,89817.7094359253,89817.7094359253,89817.7094359253,89817.7094359253,89817.7094359253,89817.7094359253,0.0,0.0,0.0,30753.619578323633,30459.01844
2004-12-31,-58999.83883154572,26945.752585727227,30777.314995262386,-58999.83883154572,-58999.83883154572,87884.94556010985,87884.94556010985,87884.94556010985,87884.94556010985,87884.94556010985,87884.94556010985,0.0,0.0,0.0,28885.106728564126,29336.16109
2005-03-31,-58936.98456692576,28291.669081552533,32189.213595374167,-58936.98456692576,-58936.98456692576,89160.85015666769,89160.85015666769,89160.85015666769,89160.85015666769,89160.85015666769,89160.85015666769,0.0,0.0,0.0,30223.865589741923,31400.22865
2005-06-30,-58873.46095605519,26265.216010740034,30047.51028189393,-58873.46095605519,-58873.46095605519,86957.37288755496,86957.37288755496,86957.37288755496,86957.37288755496,86957.37288755496,86957.37288755496,0.0,0.0,0.0,28083.911931499766,28226.67695
2005-09-30,-58809.239283526695,29175.0125994611,32969.79090159595,-58809.239283526695,-58809.239283526695,89926.38358826374,89926.38358826374,89926.38358826374,89926.38358826374,89926.38358826374,89926.38358826374,0.0,0.0,0.0,31117.14430473704,32953.57591
2005-12-31,-58745.154033595056,27323.499984300088,31165.82589502409,-58745.154033595056,-58745.154033595056,87912.22132579966,87912.22132579966,87912.22132579966,87912.22132579966,87912.22132579966,87912.22132579966,0.0,0.0,0.0,29167.067292204607,28352.77289
2006-03-31,-58682.46194127064,29197.73032447859,33107.98254981942,-58682.46194127064,-58682.46194127064,89842.93835696706,89842.93835696706,89842.93835696706,89842.93835696706,89842.93835696706,89842.93835696706,0.0,0.0,0.0,31160.476415696423,30792.897
2006-06-30,-58619.07327014261,26945.194566373877,30829.05900268078,-58619.07327014261,-58619.07327014261,87397.89235310197,87397.89235310197,87397.89235310197,87397.89235310197,87397.89235310197,87397.89235310197,0.0,0.0,0.0,28778.81908295936,29013.81407
2006-09-30,-58555.030539701176,29604.084400310392,33272.383482275436,-58555.030539701176,-58555.030539701176,90056.4174418491,90056.4174418491,90056.4174418491,90056.4174418491,90056.4174418491,90056.4174418491,0.0,0.0,0.0,31501.386902147926,32218.19748
2006-12-31,-58490.98780925973,27456.11985174008,31212.046866102202,-58490.98780925973,-58490.98780925973,87803.58916556215,87803.58916556215,87803.58916556215,87803.58916556215,87803.58916556215,87803.58916556215,0.0,0.0,0.0,29312.601356302424,30532.99403
2007-03-31,-58428.337312088755,29815.52785459638,33803.63067414904,-58428.337312088755,-58428.337312088755,90175.38499809134,90175.38499809134,90175.38499809134,90175.38499809134,90175.38499809134,90175.38499809134,0.0,0.0,0.0,31747.04768600258,30921.96242
2007-06-30,-58365.03081451009,27081.222457837364,31230.77917020957,-58365.03081451009,-58365.03081451009,87424.45587207808,87424.45587207808,87424.45587207808,87424.45587207808,87424.45587207808,87424.45587207808,0.0,0.0,0.0,29059.425057567983,29834.72208
2007-09-30,-58301.02864113385,29962.7012998245,33902.05114086426,-58301.02864113385,-58301.02864113385,90205.96399250676,90205.96399250676,90205.96399250676,90205.96399250676,90205.96399250676,90205.96399250676,0.0,0.0,0.0,31904.935351372907,32428.50707
2007-12-31,-58566.449937935104,27136.854372138056,30989.873115593244,-58566.449937935104,-58566.449937935104,87561.26448223894,87561.26448223894,87561.26448223894,87561.26448223894,87561.26448223894,87561.26448223894,0.0,0.0,0.0,28994.814544303837,29507.90288
2008-03-31,-58828.986220640676,27309.08566238982,31205.33261516177,-58828.986220640676,-58828.986220640676,88127.92616465111,88127.92616465111,88127.92616465111,88127.92616465111,88127.92616465111,88127.92616465111,0.0,0.0,0.0,29298.93994401044,31562.37748
2008-06-30,-59091.522503346256,25045.57946155835,28869.383132162213,-59091.522503346256,-59091.522503346256,86105.59439057914,86105.59439057914,86105.59439057914,86105.59439057914,86105.59439057914,86105.59439057914,0.0,0.0,0.0,27014.07188723288,27332.24892
2008-09-30,-59483.16936509563,28506.097427623477,32278.53596581002,-59483.16936509563,-59483.16936509563,89817.70943594677,89817.70943594677,89817.70943594677,89817.70943594677,89817.70943594677,89817.70943594677,0.0,0.0,0.0,30334.540070851144,30087.70777
2008-12-31,-59874.816226845,26143.587082686867,29973.109613415832,-59874.816226845,-59874.816226845,87884.9455600797,87884.9455600797,87884.9455600797,87884.9455600797,87884.9455600797,87884.9455600797,0.0,0.0,0.0,28010.12933323469,28601.07753
