ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-3256.56734432174,598.1654047734536,668.3802175943448,-3256.56734432174,-3256.56734432174,3889.949050510437,3889.949050510437,3889.949050510437,3889.949050510437,3889.949050510437,3889.949050510437,0.0,0.0,0.0,633.3817061886966,629.002
2001-06-30,-3253.2297075161086,611.2016148919505,683.9846469505472,-3253.2297075161086,-3253.2297075161086,3900.0241944761365,3900.0241944761365,3900.0241944761365,3900.0241944761365,3900.0241944761365,3900.0241944761365,0.0,0.0,0.0,646.7944869600278,663.287
2001-09-30,-3249.8553933829435,642.6066311327842,713.236123222056,-3249.8553933829435,-3249.8553933829435,3926.682903434911,3926.682903434911,3926.682903434911,3926.682903434911,3926.682903434911,3926.682903434911,0.0,0.0,0.0,676.8275100519677,703.454
2001-12-31,-3246.4810792497783,632.4514182373825,706.479271898485,-3246.4810792497783,-3246.4810792497783,3913.7156432992942,3913.7156432992942,3913.7156432992942,3913.7156432992942,3913.7156432992942,3913.7156432992942,0.0,0.0,0.0,667.2345640495159,691.853
2002-03-31,-3243.1801197765003,600.6043804601504,670.0565681341197,-3243.1801197765003,-3243.1801197765003,3878.5353284801517,3878.5353284801517,3878.5353284801517,3878.5353284801517,3878.5353284801517,3878.5353284801517,0.0,0.0,0.0,635.3552087036514,616.331
2002-06-30,-3239.8424829757414,628.1134128183345,698.7924369596388,-3239.8424829757414,-3239.8424829757414,3902.2050626811492,3902.2050626811492,3902.2050626811492,3902.2050626811492,3902.2050626811492,3902.2050626811492,0.0,0.0,0.0,662.3625797054078,719.507
2002-09-30,-3236.4681688490746,663.0489520769136,733.885849797412,-3236.4681688490746,-3236.4681688490746,3935.77618852011,3935.77618852011,3935.77618852011,3935.77618852011,3935.77618852011,3935.77618852011,0.0,0.0,0.0,699.3080196710353,704.346
2002-12-31,-3233.093854722408,647.2229989900039,716.4643468681244,-3233.093854722408,-3233.093854722408,3915.3487441697903,3915.3487441697903,3915.3487441697903,3915.3487441697903,3915.3487441697903,3915.3487441697903,0.0,0.0,0.0,682.2548894473821,659.539
2003-03-31,-3229.792895250669,604.5696414714561,677.8670387736385,-3229.792895250669,-3229.792895250669,3870.3780322031616,3870.3780322031616,3870.3780322031616,3870.3780322031616,3870.3780322031616,3870.3780322031616,0.0,0.0,0.0,640.5851369524926,619.819
2003-06-30,-3226.455258446196,629.0377625585236,701.1963227014778,-3226.455258446196,-3226.455258446196,3892.769942123072,3892.769942123072,3892.769942123072,3892.769942123072,3892.769942123072,3892.769942123072,0.0,0.0,0.0,666.314683676876,658.371
