ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-229.48055390955633,203.00688046227287,868.8573810938111,-229.48055390955633,-229.48055390955633,772.8312218391683,772.8312218391683,772.8312218391683,772.8312218391683,772.8312218391683,772.8312218391683,0.0,0.0,0.0,543.350667929612,352.862
2001-06-30,-225.32780081441265,44.679756730241984,737.3617488361307,-225.32780081441265,-225.32780081441265,635.5454278485247,635.5454278485247,635.5454278485247,635.5454278485247,635.5454278485247,635.5454278485247,0.0,0.0,0.0,410.21762703411207,308.245
2001-09-30,-221.12941306987173,0.9878055957098529,701.2667736767183,-221.12941306987173,-221.12941306987173,563.4865174864739,563.4865174864739,563.4865174864739,563.4865174864739,563.4865174864739,563.4865174864739,0.0,0.0,0.0,342.35710441660217,301.897
2001-12-31,-216.93102532533084,8.65530921746817,739.7718497016115,-216.93102532533084,-216.93102532533084,595.401697857113,595.401697857113,595.401697857113,595.401697857113,595.401697857113,595.401697857113,0.0,0.0,0.0,378.4706725317822,262.44
2002-03-31,-212.8239068789929,223.75888350119075,907.8050541978806,-212.8239068789929,-212.8239068789929,779.0148510447684,779.0148510447684,779.0148510447684,779.0148510447684,779.0148510447684,779.0148510447684,0.0,0.0,0.0,566.1909441657756,330.278
2002-06-30,-208.6711537832512,131.813393216481,821.6724202827414,-208.6711537832512,-208.6711537832512,680.0133890463214,680.0133890463214,680.0133890463214,680.0133890463214,680.0133890463214,680.0133890463214,0.0,0.0,0.0,471.3422352630702,283.057
2002-09-30,-204.47276603950684,4.202472311886398,701.3760718189312,-204.47276603950684,-204.47276603950684,560.1780517917543,560.1780517917543,560.1780517917543,560.1780517917543,560.1780517917543,560.1780517917543,0.0,0.0,0.0,355.7052857522475,259.782
2002-12-31,-200.2743782957625,103.23475787407344,772.3773078870681,-200.2743782957625,-200.2743782957625,614.3116013345164,614.3116013345164,614.3116013345164,614.3116013345164,614.3116013345164,614.3116013345164,0.0,0.0,0.0,414.03722303875384,516.635
2003-03-31,-196.16725985079515,247.44884319623557,962.093861421065,-196.16725985079515,-196.16725985079515,786.2547241593585,786.2547241593585,786.2547241593585,786.2547241593585,786.2547241593585,786.2547241593585,0.0,0.0,0.0,590.0874643085633,875.635
2003-06-30,-192.01450675799256,186.36352095543552,860.4148059215393,-192.01450675799256,-192.01450675799256,725.1807243184037,725.1807243184037,725.1807243184037,725.1807243184037,725.1807243184037,725.1807243184037,0.0,0.0,0.0,533.1662175604112,1288.791
2003-09-30,-187.81611901581854,16.357159541498156,702.1084012444918,-187.81611901581854,-187.81611901581854,552.5834789012919,552.5834789012919,552.5834789012919,552.5834789012919,552.5834789012919,552.5834789012919,0.0,0.0,0.0,364.7673598854733,937.858
2003-12-31,-183.6177312736445,97.97855826159972,789.7191502882137,-183.6177312736445,-183.6177312736445,631.3304599651926,631.3304599651926,631.3304599651926,631.3304599651926,631.3304599651926,631.3304599651926,0.0,0.0,0.0,447.71272869154814,563.141
2004-03-31,-179.46497818089247,247.42944001860678,943.5718983793884,-179.46497818089247,-179.46497818089247,767.7222833705499,767.7222833705499,767.7222833705499,767.7222833705499,767.7222833705499,767.7222833705499,0.0,0.0,0.0,588.2573051896575,616.14574
2004-06-30,-175.3122250881404,95.21120839243376,779.6692440579416,-175.3122250881404,-175.3122250881404,591.7920761301039,591.7920761301039,591.7920761301039,591.7920761301039,591.7920761301039,591.7920761301039,0.0,0.0,0.0,416.47985104196346,365.63944
2004-09-30,-171.1138373469706,64.83921718685646,741.2419965635692,-171.1138373469706,-171.1138373469706,562.4828432934038,562.4828432934038,562.4828432934038,562.4828432934038,562.4828432934038,562.4828432934038,0.0,0.0,0.0,391.36900594643316,578.98457
2004-12-31,-166.9154496058008,58.98687033751443,778.7498501319888,-166.9154496058008,-166.9154496058008,574.659673791793,574.659673791793,574.659673791793,574.659673791793,574.659673791793,574.659673791793,0.0,0.0,0.0,407.7442241859922,886.13964
2005-03-31,-162.8083311633521,271.6135188344378,938.1576262668476,-162.8083311633521,-162.8083311633521,772.8312218391759,772.8312218391759,772.8312218391759,772.8312218391759,772.8312218391759,772.8312218391759,0.0,0.0,0.0,610.0228906758238,752.87502
2005-06-30,-158.6555780709787,117.65190873798923,819.6480474275791,-158.6555780709787,-158.6555780709787,635.5454278488118,635.5454278488118,635.5454278488118,635.5454278488118,635.5454278488118,635.5454278488118,0.0,0.0,0.0,476.8898497778331,856.52503
2005-09-30,-154.45719032923847,53.46087700493622,761.2595044207734,-154.45719032923847,-154.45719032923847,563.4865174866816,563.4865174866816,563.4865174866816,563.4865174866816,563.4865174866816,563.4865174866816,0.0,0.0,0.0,409.0293271574431,780.1386
2005-12-31,-150.25880258612554,103.81820625600145,792.1131220242215,-150.25880258612554,-150.25880258612554,595.4016978570387,595.4016978570387,595.4016978570387,595.4016978570387,595.4016978570387,595.4016978570387,0.0,0.0,0.0,445.1428952709132,548.60836
2006-03-31,-146.15168414177595,264.61069528623415,987.3546420688599,-146.15168414177595,-146.15168414177595,779.0148510448752,779.0148510448752,779.0148510448752,779.0148510448752,779.0148510448752,779.0148510448752,0.0,0.0,0.0,632.8631669030992,585.63556
2006-06-30,-141.99893104804465,195.14503807281537,900.3238457571196,-141.99893104804465,-141.99893104804465,680.0133890465614,680.0133890465614,680.0133890465614,680.0133890465614,680.0133890465614,680.0133890465614,0.0,0.0,0.0,538.0144579985167,416.70688
2006-09-30,-137.80054330462323,78.8327673966786,770.5719443109836,-137.80054330462323,-137.80054330462323,560.1780517915183,560.1780517915183,560.1780517915183,560.1780517915183,560.1780517915183,560.1780517915183,0.0,0.0,0.0,422.37750848689507,427.89416
