ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-828.1759866004838,922.3160105731082,1987.1380867701794,-828.1759866004838,-828.1759866004838,2266.1584330802807,2266.1584330802807,2266.1584330802807,2266.1584330802807,2266.1584330802807,2266.1584330802807,0.0,0.0,0.0,1437.9824464797969,1801.62
2001-06-30,-807.1863360343519,873.9185030068768,1986.4622446167023,-807.1863360343519,-807.1863360343519,2255.8113700638346,2255.8113700638346,2255.8113700638346,2255.8113700638346,2255.8113700638346,2255.8113700638346,0.0,0.0,0.0,1448.6250340294828,1445.785
2001-09-30,-785.9660299674933,1209.826907997824,2362.9135189636418,-785.9660299674933,-785.9660299674933,2570.1995965302362,2570.1995965302362,2570.1995965302362,2570.1995965302362,2570.1995965302362,2570.1995965302362,0.0,0.0,0.0,1784.233566562743,2315.458
2001-12-31,-764.7457239006349,901.9300677393499,2012.8160469233512,-764.7457239006349,-764.7457239006349,2218.8749458319344,2218.8749458319344,2218.8749458319344,2218.8749458319344,2218.8749458319344,2218.8749458319344,0.0,0.0,0.0,1454.1292219312995,1837.88
2002-03-31,-743.986728823117,914.1026872307923,2013.653670559669,-743.986728823117,-743.986728823117,2226.985598030918,2226.985598030918,2226.985598030918,2226.985598030918,2226.985598030918,2226.985598030918,0.0,0.0,0.0,1482.998869207801,1696.809
2002-06-30,-722.9970782447381,1053.1749943576274,2131.8164070426856,-722.9970782447381,-722.9970782447381,2311.8678313732844,2311.8678313732844,2311.8678313732844,2311.8678313732844,2311.8678313732844,2311.8678313732844,0.0,0.0,0.0,1588.8707531285463,2072.639
2002-09-30,-701.7767721441144,1309.9777323760732,2441.140708885234,-701.7767721441144,-701.7767721441144,2595.7805476194376,2595.7805476194376,2595.7805476194376,2595.7805476194376,2595.7805476194376,2595.7805476194376,0.0,0.0,0.0,1894.0037754753232,2276.295
2002-12-31,-680.5564660434907,943.4680846207204,2063.2967340846462,-680.5564660434907,-680.5564660434907,2211.279032736253,2211.279032736253,2211.279032736253,2211.279032736253,2211.279032736253,2211.279032736253,0.0,0.0,0.0,1530.7225666927625,1676.215
2003-03-31,-659.7974709450546,1027.0438900977063,2143.227285006356,-659.7974709450546,-659.7974709450546,2210.465510850812,2210.465510850812,2210.465510850812,2210.465510850812,2210.465510850812,2210.465510850812,0.0,0.0,0.0,1550.6680399057573,1733.561
2003-06-30,-638.8078203390022,1134.4392080957148,2280.105956494005,-638.8078203390022,-638.8078203390022,2378.012241707306,2378.012241707306,2378.012241707306,2378.012241707306,2378.012241707306,2378.012241707306,0.0,0.0,0.0,1739.2044213683039,2028.374
