ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-8805.43871967555,5737.629881719136,7935.098523675518,-8805.43871967555,-8805.43871967555,15661.59980525606,15661.59980525606,15661.59980525606,15661.59980525606,15661.59980525606,15661.59980525606,0.0,0.0,0.0,6856.16108558051,7469.313
2001-06-30,-8794.738869866562,5139.112401482796,7203.008756272241,-8794.738869866562,-8794.738869866562,14954.94510752105,14954.94510752105,14954.94510752105,14954.94510752105,14954.94510752105,14954.94510752105,0.0,0.0,0.0,6160.206237654489,7437.391
2001-09-30,-8783.92143929044,5899.5888775351905,8041.312938519619,-8783.92143929044,-8783.92143929044,15748.136197737405,15748.136197737405,15748.136197737405,15748.136197737405,15748.136197737405,15748.136197737405,0.0,0.0,0.0,6964.214758446966,7053.086
2001-12-31,-8773.10400871432,5341.684331349356,7452.9137969473395,-8773.10400871432,-8773.10400871432,15146.368055471947,15146.368055471947,15146.368055471947,15146.368055471947,15146.368055471947,15146.368055471947,0.0,0.0,0.0,6373.2640467576275,6616.641
2002-03-31,-8762.521739483345,6008.5257138756,8164.614540295508,-8762.521739483345,-8762.521739483345,15852.98372261841,15852.98372261841,15852.98372261841,15852.98372261841,15852.98372261841,15852.98372261841,0.0,0.0,0.0,7090.461983135065,6754.867
2002-06-30,-8751.821889483137,5007.736436920329,7109.66098735772,-8751.821889483137,-8751.821889483137,14801.821899220082,14801.821899220082,14801.821899220082,14801.821899220082,14801.821899220082,14801.821899220082,0.0,0.0,0.0,6050.000009736945,6098.546
2002-09-30,-8741.004458642188,5953.747418008766,7923.985838310875,-8741.004458642188,-8741.004458642188,15658.658872413573,15658.658872413573,15658.658872413573,15658.658872413573,15658.658872413573,15658.658872413573,0.0,0.0,0.0,6917.6544137713845,7256.143
2002-12-31,-8730.187027801241,5152.943850909016,7293.247811440615,-8730.187027801241,-8730.187027801241,14934.673206907224,14934.673206907224,14934.673206907224,14934.673206907224,14934.673206907224,14934.673206907224,0.0,0.0,0.0,6204.486179105983,7464.369
2003-03-31,-8719.604758500313,6197.0328922699555,8217.493865104097,-8719.604758500313,-8719.604758500313,15922.650531152098,15922.650531152098,15922.650531152098,15922.650531152098,15922.650531152098,15922.650531152098,0.0,0.0,0.0,7203.045772651785,6322.102
2003-06-30,-8708.904908319713,4953.489205217021,7031.04987780008,-8708.904908319713,-8708.904908319713,14693.352299989547,14693.352299989547,14693.352299989547,14693.352299989547,14693.352299989547,14693.352299989547,0.0,0.0,0.0,5984.447391669833,5222.342
2003-09-30,-8698.087477367899,5748.999472792741,7871.361812044776,-8698.087477367899,-8698.087477367899,15489.113463227119,15489.113463227119,15489.113463227119,15489.113463227119,15489.113463227119,15489.113463227119,0.0,0.0,0.0,6791.02598585922,6605.294
2003-12-31,-8687.270046416083,5050.815718858882,7111.972355666926,-8687.270046416083,-8687.270046416083,14741.257462201944,14741.257462201944,14741.257462201944,14741.257462201944,14741.257462201944,14741.257462201944,0.0,0.0,0.0,6053.987415785861,6002.842
2004-03-31,-8676.570196163304,5709.379092136038,7761.810963490759,-8676.570196163304,-8676.570196163304,15348.882819471684,15348.882819471684,15348.882819471684,15348.882819471684,15348.882819471684,15348.882819471684,0.0,0.0,0.0,6672.31262330838,6862.319
2004-06-30,-8665.870345910525,5420.431376536966,7543.792775289598,-8665.870345910525,-8665.870345910525,15152.871590970866,15152.871590970866,15152.871590970866,15152.871590970866,15152.871590970866,15152.871590970866,0.0,0.0,0.0,6487.001245060341,7514.457
2004-09-30,-8655.052915016893,5993.540677493793,8179.106671388739,-8655.052915016893,-8655.052915016893,15757.439568452663,15757.439568452663,15757.439568452663,15757.439568452663,15757.439568452663,15757.439568452663,0.0,0.0,0.0,7102.386653435769,7390.556
2004-12-31,-8644.235484123263,5803.170009312024,7805.96130954253,-8644.235484123263,-8644.235484123263,15375.580990808268,15375.580990808268,15375.580990808268,15375.580990808268,15375.580990808268,15375.580990808268,0.0,0.0,0.0,6731.345506685006,6844.939
2005-03-31,-8633.653214770799,6002.727577845634,8063.112214891019,-8633.653214770799,-8633.653214770799,15661.599805257589,15661.599805257589,15661.599805257589,15661.599805257589,15661.599805257589,15661.599805257589,0.0,0.0,0.0,7027.94659048679,6354.343
2005-06-30,-8622.953364348874,5371.578141443874,7466.2834772121,-8622.953364348874,-8622.953364348874,14954.945107520101,14954.945107520101,14954.945107520101,14954.945107520101,14954.945107520101,14954.945107520101,0.0,0.0,0.0,6331.991743171227,6352.339
2005-09-30,-8612.135933153084,6106.624062412436,8160.032183139658,-8612.135933153084,-8612.135933153084,15748.136197737756,15748.136197737756,15748.136197737756,15748.136197737756,15748.136197737756,15748.136197737756,0.0,0.0,0.0,7136.000264584673,7427.904
2005-12-31,-8601.31850206966,5508.80933447159,7556.585769943682,-8601.31850206966,-8601.31850206966,15146.368055472789,15146.368055472789,15146.368055472789,15146.368055472789,15146.368055472789,15146.368055472789,0.0,0.0,0.0,6545.049553403129,7668.522
2006-03-31,-8590.736232531528,6218.133884363007,8246.308776273234,-8590.736232531528,-8590.736232531528,15852.983722618177,15852.983722618177,15852.983722618177,15852.983722618177,15852.983722618177,15852.983722618177,0.0,0.0,0.0,7262.247490086649,7274.097
2006-06-30,-8580.036382220751,5123.187249521538,7289.060927950412,-8580.036382220751,-8580.036382220751,14801.821899220844,14801.821899220844,14801.821899220844,14801.821899220844,14801.821899220844,14801.821899220844,0.0,0.0,0.0,6221.785517000093,5695.317
2006-09-30,-8569.218951123565,6016.727873661448,8111.825303844932,-8569.218951123565,-8569.218951123565,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,0.0,0.0,0.0,7089.439921288724,6737.138
2006-12-31,-8558.40152002638,5365.318169696145,7429.089605623381,-8558.40152002638,-8558.40152002638,14934.673206900177,14934.673206900177,14934.673206900177,14934.673206900177,14934.673206900177,14934.673206900177,0.0,0.0,0.0,6376.271686873797,4972.225
2007-03-31,-8547.819250474784,6313.580920321002,8486.203890629946,-8547.819250474784,-8547.819250474784,15922.650531150864,15922.650531150864,15922.650531150864,15922.650531150864,15922.650531150864,15922.650531150864,0.0,0.0,0.0,7374.8312806760805,7406.858
2007-06-30,-8537.119018677678,5032.579989703284,7255.46563258618,-8537.119018677678,-8537.119018677678,14693.352299990285,14693.352299990285,14693.352299990285,14693.352299990285,14693.352299990285,14693.352299990285,0.0,0.0,0.0,6156.233281312607,7565.957
2007-09-30,-8526.301201915769,5917.671278061466,8009.677569936373,-8526.301201915769,-8526.301201915769,15489.11346322546,15489.11346322546,15489.11346322546,15489.11346322546,15489.11346322546,15489.11346322546,0.0,0.0,0.0,6962.812261309691,7380.415
2007-12-31,-8515.48338381951,5085.164891243572,7274.147091153096,-8515.48338381951,-8515.48338381951,14741.257462200967,14741.257462200967,14741.257462200967,14741.257462200967,14741.257462200967,14741.257462200967,0.0,0.0,0.0,6225.774078381457,6347.141
2008-03-31,-8504.783150702558,5818.972583045411,7879.884701194028,-8504.783150702558,-8504.783150702558,15348.882819472106,15348.882819472106,15348.882819472106,15348.882819472106,15348.882819472106,15348.882819472106,0.0,0.0,0.0,6844.099668769548,6296.285
2008-06-30,-8494.082917585607,5569.373742103448,7736.892194526588,-8494.082917585607,-8494.082917585607,15152.87159097563,15152.87159097563,15152.87159097563,15152.87159097563,15152.87159097563,15152.87159097563,0.0,0.0,0.0,6658.788673390023,6279.806
2008-09-30,-8483.265098249038,6252.564842304519,8286.105910317867,-8483.265098249038,-8483.265098249038,15757.4395684497,15757.4395684497,15757.4395684497,15757.4395684497,15757.4395684497,15757.4395684497,0.0,0.0,0.0,7274.174470200662,7044.97
2008-12-31,-8472.447278912467,5841.464192458455,7890.097760039718,-8472.447278912467,-8472.447278912467,15375.580990806224,15375.580990806224,15375.580990806224,15375.580990806224,15375.580990806224,15375.580990806224,0.0,0.0,0.0,6903.133711893757,7408.556
2009-03-31,-8461.864629561474,6151.203037894811,8291.969638459543,-8461.864629561474,-8461.864629561474,15661.599805258675,15661.599805258675,15661.599805258675,15661.599805258675,15661.599805258675,15661.599805258675,0.0,0.0,0.0,7199.7351756972,7259.88
2009-06-30,-8451.157255440543,5499.467246877759,7548.862400023095,-8451.157255440543,-8451.157255440543,14954.945107518079,14954.945107518079,14954.945107518079,14954.945107518079,14954.945107518079,14954.945107518079,0.0,0.0,0.0,6503.787852077536,6401.445
2009-09-30,-8440.332217867732,6273.618185229535,8330.133191562956,-8440.332217867732,-8440.332217867732,15748.13619773611,15748.13619773611,15748.13619773611,15748.13619773611,15748.13619773611,15748.13619773611,0.0,0.0,0.0,7307.8039798683785,7164.91
2009-12-31,-8429.50550375998,5632.616284173749,7729.713953452697,-8429.50550375998,-8429.50550375998,15146.368055471386,15146.368055471386,15146.368055471386,15146.368055471386,15146.368055471386,15146.368055471386,0.0,0.0,0.0,6716.862551711407,6135.766
2010-03-31,-8418.914153002394,6387.543202784011,8437.623419327021,-8418.914153002394,-8418.914153002394,15852.983722616986,15852.983722616986,15852.983722616986,15852.983722616986,15852.983722616986,15852.983722616986,0.0,0.0,0.0,7434.069569614592,7420.329
2010-06-30,-8408.205120569724,5404.643280091324,7491.450606817726,-8408.205120569724,-8408.205120569724,14801.821899219029,14801.821899219029,14801.821899219029,14801.821899219029,14801.821899219029,14801.821899219029,0.0,0.0,0.0,6393.616778649304,7067.126
2010-09-30,-8397.298731554105,6205.137002211562,8303.348870859078,-8397.298731554105,-8397.298731554105,15658.658872413325,15658.658872413325,15658.658872413325,15658.658872413325,15658.658872413325,15658.658872413325,0.0,0.0,0.0,7261.36014085922,7257.909
2010-12-31,-8386.39234253849,5452.117683403769,7616.099193379733,-8386.39234253849,-8386.39234253849,14934.67320690064,14934.67320690064,14934.67320690064,14934.67320690064,14934.67320690064,14934.67320690064,0.0,0.0,0.0,6548.28086436215,5993.857
2011-03-31,-8375.723048936254,6513.376716183871,8538.049468890811,-8375.723048936254,-8375.723048936254,15922.650531151652,15922.650531151652,15922.650531151652,15922.650531151652,15922.650531151652,15922.650531151652,0.0,0.0,0.0,7546.927482215398,7442.076
2011-06-30,-8364.923359404198,5226.66453268369,7366.464266425052,-8364.923359404198,-8364.923359404198,14693.352299987107,14693.352299987107,14693.352299987107,14693.352299987107,14693.352299987107,14693.352299987107,0.0,0.0,0.0,6328.4289405829095,4860.258
2011-09-30,-8354.004991965196,6055.483766793111,8202.945017248789,-8354.004991965196,-8354.004991965196,15489.113463226047,15489.113463226047,15489.113463226047,15489.113463226047,15489.113463226047,15489.113463226047,0.0,0.0,0.0,7135.108471260852,7211.257
2011-12-31,-8342.998467013223,5272.949825016362,7532.983091058888,-8342.998467013223,-8342.998467013223,14741.257462201907,14741.257462201907,14741.257462201907,14741.257462201907,14741.257462201907,14741.257462201907,0.0,0.0,0.0,6398.258995188684,7405.586
2012-03-31,-8332.111578202033,5932.713160741408,8045.581594278712,-8332.111578202033,-8332.111578202033,15348.882819471592,15348.882819471592,15348.882819471592,15348.882819471592,15348.882819471592,15348.882819471592,0.0,0.0,0.0,7016.771241269558,6560.168
2012-06-30,-8321.224689390843,5754.335838158141,7832.246538940994,-8321.224689390843,-8321.224689390843,15152.871590975428,15152.871590975428,15152.871590975428,15152.871590975428,15152.871590975428,15152.871590975428,0.0,0.0,0.0,6831.646901584585,7260.439
2012-09-30,-8310.19063332578,6397.081680639977,8508.567382313971,-8310.19063332578,-8310.19063332578,15757.439568450249,15757.439568450249,15757.439568450249,15757.439568450249,15757.439568450249,15757.439568450249,0.0,0.0,0.0,7447.248935124469,6678.196
2012-12-31,-8299.156577260715,6036.8245476667935,8169.480263653149,-8299.156577260715,-8299.156577260715,15375.580990810608,15375.580990810608,15375.580990810608,15375.580990810608,15375.580990810608,15375.580990810608,0.0,0.0,0.0,7076.424413549892,4603.298
2013-03-31,-8288.362391979674,6338.657725696955,8414.713298241964,-8288.362391979674,-8288.362391979674,15661.599805257894,15661.599805257894,15661.599805257894,15661.599805257894,15661.599805257894,15661.599805257894,0.0,0.0,0.0,7373.237413278221,7177.225
2013-06-30,-8277.35646033398,5625.478131124306,7774.406460069898,-8277.35646033398,-8277.35646033398,14954.945107515246,14954.945107515246,14954.945107515246,14954.945107515246,14954.945107515246,14954.945107515246,0.0,0.0,0.0,6677.588647181266,7466.221
2013-09-30,-8266.229584384488,6504.203045973098,8529.798490204535,-8266.229584384488,-8266.229584384488,15748.136197736685,15748.136197736685,15748.136197736685,15748.136197736685,15748.136197736685,15748.136197736685,0.0,0.0,0.0,7481.906613352197,7412.638
2013-12-31,-8255.0081352907,5760.869497900824,7842.553175548242,-8255.0081352907,-8255.0081352907,15146.368055470391,15146.368055470391,15146.368055470391,15146.368055470391,15146.368055470391,15146.368055470391,0.0,0.0,0.0,6891.3599201796915,6437.73
2014-03-31,-8244.030630742429,6614.739459914504,8714.70402157966,-8244.030630742429,-8244.030630742429,15852.98372261887,15852.98372261887,15852.98372261887,15852.98372261887,15852.98372261887,15852.98372261887,0.0,0.0,0.0,7608.953091876441,7291.494
2014-06-30,-8232.931153921401,5553.743321563204,7606.459350390027,-8232.931153921401,-8232.931153921401,14801.821899217231,14801.821899217231,14801.821899217231,14801.821899217231,14801.821899217231,14801.821899217231,0.0,0.0,0.0,6568.89074529583,5350.367
2014-09-30,-8168.761555785127,6385.9226428248285,8528.88636668089,-8168.761555785127,-8168.761555785127,15658.658872413685,15658.658872413685,15658.658872413685,15658.658872413685,15658.658872413685,15658.658872413685,0.0,0.0,0.0,7489.897316628559,7373.379
2014-12-31,-8104.591957648851,5787.094137993801,7852.263377117449,-8104.591957648851,-8104.591957648851,14934.673206905252,14934.673206905252,14934.673206905252,14934.673206905252,14934.673206905252,14934.673206905252,0.0,0.0,0.0,6830.081249256401,7654.766
2015-03-31,-8041.74298124369,6794.377833260345,8913.36079810276,-8041.74298124369,-8041.74298124369,15922.650531149537,15922.650531149537,15922.650531149537,15922.650531149537,15922.650531149537,15922.650531149537,0.0,0.0,0.0,7880.907549905846,6758.073
2015-06-30,-7978.1956828784705,5711.5835483943965,7834.0376433062065,-7978.1956828784705,-7978.1956828784705,14693.352299989798,14693.352299989798,14693.352299989798,14693.352299989798,14693.352299989798,14693.352299989798,0.0,0.0,0.0,6715.156617111327,6350.066
2015-09-30,-7913.9500625531955,6537.000960757773,8593.712169402928,-7913.9500625531955,-7913.9500625531955,15489.113463223654,15489.113463223654,15489.113463223654,15489.113463223654,15489.113463223654,15489.113463223654,0.0,0.0,0.0,7575.163400670458,6487.569
2015-12-31,-7849.674882185625,5811.2283737252665,7913.904847966428,-7849.674882185625,-7849.674882185625,14741.257462201818,14741.257462201818,14741.257462201818,14741.257462201818,14741.257462201818,14741.257462201818,0.0,0.0,0.0,6891.582580016193,5364.764
2016-03-31,-7786.098345082921,6514.045527966798,8671.236077151807,-7786.098345082921,-7786.098345082921,15348.882819475317,15348.882819475317,15348.882819475317,15348.882819475317,15348.882819475317,15348.882819475317,0.0,0.0,0.0,7562.784474392396,5840.549
2016-06-30,-7722.521807980214,6352.339380738943,8435.0149040893,-7722.521807980214,-7722.521807980214,15152.871590972225,15152.871590972225,15152.871590972225,15152.871590972225,15152.871590972225,15152.871590972225,0.0,0.0,0.0,7430.349782992011,7196.934
2016-09-30,-7658.2450552499995,7106.8759111449635,9157.594661180323,-7658.2450552499995,-7658.2450552499995,15757.439568451764,15757.439568451764,15757.439568451764,15757.439568451764,15757.439568451764,15757.439568451764,0.0,0.0,0.0,8099.1945132017645,7639.122
2016-12-31,-7593.968302519784,6737.590604059197,8858.766573860405,-7593.968302519784,-7593.968302519784,15375.580990810182,15375.580990810182,15375.580990810182,15375.580990810182,15375.580990810182,15375.580990810182,0.0,0.0,0.0,7781.612688290398,8901.481
2017-03-31,-7531.088869792552,7071.068709745579,9185.477829562342,-7531.088869792552,-7531.088869792552,15661.599805259988,15661.599805259988,15661.599805259988,15661.599805259988,15661.599805259988,15661.599805259988,0.0,0.0,0.0,8130.510935467436,8970.398
2017-06-30,-7467.510776701683,6408.653232055108,8530.995164598526,-7467.510776701683,-7467.510776701683,14954.945107517071,14954.945107517071,14954.945107517071,14954.945107517071,14954.945107517071,14954.945107517071,0.0,0.0,0.0,7487.4343308153875,5163.947
2017-09-30,-7403.234023247179,7298.927597896725,9376.81728593618,-7403.234023247179,-7403.234023247179,15748.136197738393,15748.136197738393,15748.136197738393,15748.136197738393,15748.136197738393,15748.136197738393,0.0,0.0,0.0,8344.902174491213,8986.154
2017-12-31,-7338.9572698451575,6771.192718459627,8871.134000863534,-7338.9572698451575,-7338.9572698451575,15146.368055469298,15146.368055469298,15146.368055469298,15146.368055469298,15146.368055469298,15146.368055469298,0.0,0.0,0.0,7807.410785624141,8697.003
2018-03-31,-7276.077837169268,7464.340579033739,9676.821914038374,-7276.077837169268,-7276.077837169268,15852.98372261573,15852.98372261573,15852.98372261573,15852.98372261573,15852.98372261573,15852.98372261573,0.0,0.0,0.0,8576.905885446464,10093.537
2018-06-30,-7212.499744130311,6601.19453862649,8631.773887149999,-7212.499744130311,-7212.499744130311,14801.821899218048,14801.821899218048,14801.821899218048,14801.821899218048,14801.821899218048,14801.821899218048,0.0,0.0,0.0,7589.322155087737,8796.31
2018-09-30,-7148.22299072829,7499.647739061077,9577.045099777399,-7148.22299072829,-7148.22299072829,15658.658872415002,15658.658872415002,15658.658872415002,15658.658872415002,15658.658872415002,15658.658872415002,0.0,0.0,0.0,8510.435881686713,9295.261
2018-12-31,-7083.946237326268,6756.679583420633,8903.083251852899,-7083.946237326268,-7083.946237326268,14934.673206909229,14934.673206909229,14934.673206909229,14934.673206909229,14934.673206909229,14934.673206909229,0.0,0.0,0.0,7850.726969582961,7991.274
2019-03-31,-7021.066804650378,7923.6923302579635,9953.06026040288,-7021.066804650378,-7021.066804650378,15922.650531149326,15922.650531149326,15922.650531149326,15922.650531149326,15922.650531149326,15922.650531149326,0.0,0.0,0.0,8901.583726498948,9966.168
2019-06-30,-6957.488711611422,6636.789041004689,8764.058808673235,-6957.488711611422,-6957.488711611422,14693.352299990325,14693.352299990325,14693.352299990325,14693.352299990325,14693.352299990325,14693.352299990325,0.0,0.0,0.0,7735.863588378903,8857.805
2019-09-30,-6893.2119582094,7579.966514788168,9600.338048203539,-6893.2119582094,-6893.2119582094,15489.113463226622,15489.113463226622,15489.113463226622,15489.113463226622,15489.113463226622,15489.113463226622,0.0,0.0,0.0,8595.901505017222,8802.882
2019-12-31,-6828.93520480738,6867.064666950372,8953.203186087156,-6828.93520480738,-6828.93520480738,14741.257462203423,14741.257462203423,14741.257462203423,14741.257462203423,14741.257462203423,14741.257462203423,0.0,0.0,0.0,7912.322257396043,8093.55
2020-03-31,-6765.357111768424,7516.951681316351,9584.339152140332,-6765.357111768424,-6765.357111768424,15348.882819472412,15348.882819472412,15348.882819472412,15348.882819472412,15348.882819472412,15348.882819472412,0.0,0.0,0.0,8583.525707703988,9961.677
2020-06-30,-6701.779018729469,7371.142855282452,9560.95203217284,-6701.779018729469,-6701.779018729469,15152.871590974766,15152.871590974766,15152.871590974766,15152.871590974766,15152.871590974766,15152.871590974766,0.0,0.0,0.0,8451.092572245298,7670.582
2020-09-30,-6637.502265327447,8064.360066605617,10206.893515739926,-6637.502265327447,-6637.502265327447,15757.439568451697,15757.439568451697,15757.439568451697,15757.439568451697,15757.439568451697,15757.439568451697,0.0,0.0,0.0,9119.93730312425,9795.383
2020-12-31,-6573.225511925426,7714.598580536049,9834.263813320833,-6573.225511925426,-6573.225511925426,15375.580990810595,15375.580990810595,15375.580990810595,15375.580990810595,15375.580990810595,15375.580990810595,0.0,0.0,0.0,8802.355478885169,9260.553
2021-03-31,-6510.346079249536,8030.759270549424,10134.160373308248,-6510.346079249536,-6510.346079249536,15661.599805259439,15661.599805259439,15661.599805259439,15661.599805259439,15661.599805259439,15661.599805259439,0.0,0.0,0.0,9151.253726009902,9815.109
2021-06-30,-6446.767986210581,7435.188617899504,9515.370960453341,-6446.767986210581,-6446.767986210581,14954.945107516505,14954.945107516505,14954.945107516505,14954.945107516505,14954.945107516505,14954.945107516505,0.0,0.0,0.0,8508.177121305926,8661.909
2021-09-30,-6382.491232808558,8312.171786161387,10381.571959984662,-6382.491232808558,-6382.491232808558,15748.136197738535,15748.136197738535,15748.136197738535,15748.136197738535,15748.136197738535,15748.136197738535,0.0,0.0,0.0,9365.644964929976,8971.387
2021-12-31,-6318.214479406538,7722.670830494418,9881.614870866815,-6318.214479406538,-6318.214479406538,15146.368055464487,15146.368055464487,15146.368055464487,15146.368055464487,15146.368055464487,15146.368055464487,0.0,0.0,0.0,8828.15357605795,7882.002
2022-03-31,-6255.335046730648,8512.261807481951,10592.52769319338,-6255.560910780602,-6255.134479790293,15852.983722618657,15852.983722618657,15852.983722618657,15852.983722618657,15852.983722618657,15852.983722618657,0.0,0.0,0.0,9597.64867588801,9597.64867588801
2022-06-30,-6191.756953691691,7516.009070849265,9662.439019222033,-6193.54364801808,-6190.3493862375035,14801.821899213286,14801.821899213286,14801.821899213286,14801.821899213286,14801.821899213286,14801.821899213286,0.0,0.0,0.0,8610.064945521595,8610.064945521595
2022-09-30,-6127.48020028967,8482.280341205593,10574.751635871413,-6131.165195952895,-6124.15701908607,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,15658.658872412288,0.0,0.0,0.0,9531.178672122618,9531.178672122618
2022-12-31,-6063.203446887649,7861.423182922558,9979.319273803923,-6069.429216018692,-6057.094118165829,14934.673206904325,14934.673206904325,14934.673206904325,14934.673206904325,14934.673206904325,14934.673206904325,0.0,0.0,0.0,8871.469760016676,8871.469760016676
2023-03-31,-6000.324014211758,8835.989972826457,10925.684964522525,-6009.889407984922,-5990.958515681261,15922.650531154315,15922.650531154315,15922.650531154315,15922.650531154315,15922.650531154315,15922.650531154315,0.0,0.0,0.0,9922.326516942558,9922.326516942558
2023-06-30,-5936.745921172803,7645.5517449207955,9786.29795007841,-5950.248694864364,-5923.192913024288,14693.352299985978,14693.352299985978,14693.352299985978,14693.352299985978,14693.352299985978,14693.352299985978,0.0,0.0,0.0,8756.606378813176,8756.606378813176
2023-09-30,-5872.4691677707815,8648.784093965665,10652.966738502017,-5890.215525961387,-5854.208798564261,15489.113463225016,15489.113463225016,15489.113463225016,15489.113463225016,15489.113463225016,15489.113463225016,0.0,0.0,0.0,9616.644295454234,9616.644295454234
2023-12-31,-5808.192414368762,7878.824234442578,9984.88609904536,-5830.503727444166,-5785.24209871136,14741.257462195368,14741.257462195368,14741.257462195368,14741.257462195368,14741.257462195368,14741.257462195368,0.0,0.0,0.0,8933.065047826607,8933.065047826607
