ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,208750.92448242736,78196.1863926744,85164.48824418885,208750.92448242736,208750.92448242736,-127096.53491908527,-127096.53491908527,-127096.53491908527,-127096.53491908527,-127096.53491908527,-127096.53491908527,0.0,0.0,0.0,81654.38956334209,84208.14
2001-06-30,209013.19784777932,90907.18399689977,97918.38792755133,209013.19784777932,209013.19784777932,-114653.73103605234,-114653.73103605234,-114653.73103605234,-114653.73103605234,-114653.73103605234,-114653.73103605234,0.0,0.0,0.0,94359.46681172698,93689.28
2001-09-30,209278.35333802522,109128.93089840793,116144.78290616864,209278.35333802522,209278.35333802522,-96567.22909854123,-96567.22909854123,-96567.22909854123,-96567.22909854123,-96567.22909854123,-96567.22909854123,0.0,0.0,0.0,112711.124239484,111788.407
2001-12-31,209543.50882827115,81713.10467035745,88515.47893910596,209543.50882827115,209543.50882827115,-124409.06431058132,-124409.06431058132,-124409.06431058132,-124409.06431058132,-124409.06431058132,-124409.06431058132,0.0,0.0,0.0,85134.44451768983,82894.178
2002-03-31,209802.90006748427,80006.20629815361,87197.48451840083,209802.90006748427,209802.90006748427,-126161.1735521985,-126161.1735521985,-126161.1735521985,-126161.1735521985,-126161.1735521985,-126161.1735521985,0.0,0.0,0.0,83641.72651528577,86725.737
2002-06-30,210065.17343157757,92019.40714872423,99130.59769570714,210065.17343157757,210065.17343157757,-114618.05202856127,-114618.05202856127,-114618.05202856127,-114618.05202856127,-114618.05202856127,-114618.05202856127,0.0,0.0,0.0,95447.1214030163,97720.019
2002-09-30,210330.3289219659,111245.19438722609,118355.13435764027,210330.3289219659,210330.3289219659,-95361.14317914979,-95361.14317914979,-95361.14317914979,-95361.14317914979,-95361.14317914979,-95361.14317914979,0.0,0.0,0.0,114969.18574281612,114987.259
2002-12-31,210595.48441235424,82909.6679031035,90151.98797626015,210595.48441235424,210595.48441235424,-124206.50560882712,-124206.50560882712,-124206.50560882712,-124206.50560882712,-124206.50560882712,-124206.50560882712,0.0,0.0,0.0,86388.97880352712,86195.525
2003-03-31,210854.87565295154,83905.66526535434,91018.12277344875,210854.87565295154,210854.87565295154,-123546.14419856024,-123546.14419856024,-123546.14419856024,-123546.14419856024,-123546.14419856024,-123546.14419856024,0.0,0.0,0.0,87308.7314543913,86770.942
2003-06-30,211117.14901816344,92771.42256444196,99676.6598885146,211117.14901816344,211117.14901816344,-114824.5029790667,-114824.5029790667,-114824.5029790667,-114824.5029790667,-114824.5029790667,-114824.5029790667,0.0,0.0,0.0,96292.64603909674,95421.991
2003-09-30,211382.30450826779,114394.27072379405,121406.0520685371,211382.30450826779,211382.30450826779,-93439.18187892187,-93439.18187892187,-93439.18187892187,-93439.18187892187,-93439.18187892187,-93439.18187892187,0.0,0.0,0.0,117943.12262934592,110222.505
2003-12-31,211647.4599983721,84212.27948238263,91288.73684525248,211647.4599983721,211647.4599983721,-123874.504267932,-123874.504267932,-123874.504267932,-123874.504267932,-123874.504267932,-123874.504267932,0.0,0.0,0.0,87772.9557304401,86784.246
2004-03-31,211909.73336256924,81921.23811607597,89021.88894055792,211909.73336256924,211909.73336256924,-126352.97465082699,-126352.97465082699,-126352.97465082699,-126352.97465082699,-126352.97465082699,-126352.97465082699,0.0,0.0,0.0,85556.75871174225,87253.8917
2004-06-30,212172.00672676638,93680.65532746386,100775.9818791429,212172.00672676638,212172.00672676638,-114937.94110666797,-114937.94110666797,-114937.94110666797,-114937.94110666797,-114937.94110666797,-114937.94110666797,0.0,0.0,0.0,97234.06562009841,96846.91878
2004-09-30,212437.1622161693,111781.22285170233,118857.8479812158,212437.1622161693,212437.1622161693,-97054.8407725955,-97054.8407725955,-97054.8407725955,-97054.8407725955,-97054.8407725955,-97054.8407725955,0.0,0.0,0.0,115382.32144357379,112978.63575
2004-12-31,212702.31770557223,84715.29355782238,91543.39069217902,212702.31770557223,212702.31770557223,-124473.71005949544,-124473.71005949544,-124473.71005949544,-124473.71005949544,-124473.71005949544,-124473.71005949544,0.0,0.0,0.0,88228.6076460768,93219.68607
2005-03-31,212961.70894520555,82266.57186443413,89141.44008115007,212961.70894520555,212961.70894520555,-127096.53491906865,-127096.53491906865,-127096.53491906865,-127096.53491906865,-127096.53491906865,-127096.53491906865,0.0,0.0,0.0,85865.1740261369,87312.506
2005-06-30,213223.9823102369,95084.55442185058,101955.83856435578,213223.9823102369,213223.9823102369,-114653.73103607897,-114653.73103607897,-114653.73103607897,-114653.73103607897,-114653.73103607897,-114653.73103607897,0.0,0.0,0.0,98570.25127415793,99371.10442
2005-09-30,213489.13780015876,113193.51445006764,120385.94575834637,213489.13780015876,213489.13780015876,-96567.22909855234,-96567.22909855234,-96567.22909855234,-96567.22909855234,-96567.22909855234,-96567.22909855234,0.0,0.0,0.0,116921.90870160641,119001.47398
