ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-578.2581486141014,401.3322752953605,669.438319237259,-578.2581486141014,-578.2581486141014,1120.1045709836444,1120.1045709836444,1120.1045709836444,1120.1045709836444,1120.1045709836444,1120.1045709836444,0.0,0.0,0.0,541.846422369543,562.55701
2001-06-30,-580.1239828029297,412.0086158088954,668.84366391583,-580.1239828029297,-580.1239828029297,1121.155134251201,1121.155134251201,1121.155134251201,1121.155134251201,1121.155134251201,1121.155134251201,0.0,0.0,0.0,541.0311514482712,587.842
2001-09-30,-582.0103206641629,495.5615926982551,736.1566578286865,-582.0103206641629,-582.0103206641629,1198.1925744697617,1198.1925744697617,1198.1925744697617,1198.1925744697617,1198.1925744697617,1198.1925744697617,0.0,0.0,0.0,616.1822538055987,647.539
2001-12-31,-583.896658525396,446.98664134265516,714.7636353547379,-583.896658525396,-583.896658525396,1160.2962047639314,1160.2962047639314,1160.2962047639314,1160.2962047639314,1160.2962047639314,1160.2962047639314,0.0,0.0,0.0,576.3995462385354,642.734
2002-03-31,-585.7419890601512,400.5645601396457,660.8494959132589,-585.7419890601512,-585.7419890601512,1120.9710947364201,1120.9710947364201,1120.9710947364201,1120.9710947364201,1120.9710947364201,1120.9710947364201,0.0,0.0,0.0,535.2291056762689,515.655
2002-06-30,-587.6078232675147,419.61161156833055,661.4757071931355,-587.6078232675147,-587.6078232675147,1127.7819503227433,1127.7819503227433,1127.7819503227433,1127.7819503227433,1127.7819503227433,1127.7819503227433,0.0,0.0,0.0,540.1741270552286,822.767
2002-09-30,-589.4941610910224,486.39691374171787,738.5828608810292,-589.4941610910224,-589.4941610910224,1207.6357861081924,1207.6357861081924,1207.6357861081924,1207.6357861081924,1207.6357861081924,1207.6357861081924,0.0,0.0,0.0,618.14162501717,1156.823
2002-12-31,-591.3804989145301,457.3294503380966,702.4750612191191,-591.3804989145301,-591.3804989145301,1174.902031176935,1174.902031176935,1174.902031176935,1174.902031176935,1174.902031176935,1174.902031176935,0.0,0.0,0.0,583.5215322624049,781.088
2003-03-31,-593.2258293940483,396.09741399996926,653.2870360084028,-593.2258293940483,-593.2258293940483,1121.9636380265067,1121.9636380265067,1121.9636380265067,1121.9636380265067,1121.9636380265067,1121.9636380265067,0.0,0.0,0.0,528.7378086324584,413.964
2003-06-30,-595.0916635549562,415.2799052342415,667.4004590398896,-595.0916635549562,-595.0916635549562,1132.1347867203438,1132.1347867203438,1132.1347867203438,1132.1347867203438,1132.1347867203438,1132.1347867203438,0.0,0.0,0.0,537.0431231653876,464.606
2003-09-30,-596.9780013879619,478.5926810536362,734.4533438311142,-596.9780013879619,-596.9780013879619,1205.9700478468899,1205.9700478468899,1205.9700478468899,1205.9700478468899,1205.9700478468899,1205.9700478468899,0.0,0.0,0.0,608.992046458928,536.724
2003-12-31,-598.8643392209675,473.5036156221808,732.0175672679029,-598.8643392209675,-598.8643392209675,1193.6274050711406,1193.6274050711406,1193.6274050711406,1193.6274050711406,1193.6274050711406,1193.6274050711406,0.0,0.0,0.0,594.7630658501731,464.909
2004-03-31,-600.7301732657614,399.31874757303785,654.7090605824975,-600.7301732657614,-600.7301732657614,1119.311877021319,1119.311877021319,1119.311877021319,1119.311877021319,1119.311877021319,1119.311877021319,0.0,0.0,0.0,518.5817037555577,446.46283
2004-06-30,-602.5960073105553,379.861845596352,635.2608257607118,-602.5960073105553,-602.5960073105553,1112.2066209950124,1112.2066209950124,1112.2066209950124,1112.2066209950124,1112.2066209950124,1112.2066209950124,0.0,0.0,0.0,509.6106136844571,398.31098
2004-09-30,-604.4818955180102,445.4238299074082,703.0499470471352,-604.4818955180102,-604.4818955180102,1177.6823932345687,1177.6823932345687,1177.6823932345687,1177.6823932345687,1177.6823932345687,1177.6823932345687,0.0,0.0,0.0,573.2004977165585,380.33857
2004-12-31,-606.3677837254652,418.5688143210956,677.4455762182266,-606.3677837254652,-606.3677837254652,1149.896626692573,1149.896626692573,1149.896626692573,1149.896626692573,1149.896626692573,1149.896626692573,0.0,0.0,0.0,543.5288429671077,628.44097
2005-03-31,-608.2126743631927,382.47780341389273,644.7437233337137,-608.2126743631927,-608.2126743631927,1120.1045709839152,1120.1045709839152,1120.1045709839152,1120.1045709839152,1120.1045709839152,1120.1045709839152,0.0,0.0,0.0,511.8918966207225,528.52549
2005-06-30,-610.0780539287339,377.8262119605655,642.5175859564599,-610.0780539287339,-610.0780539287339,1121.1551342509083,1121.1551342509083,1121.1551342509083,1121.1551342509083,1121.1551342509083,1121.1551342509083,0.0,0.0,0.0,511.0770803221744,459.49815
2005-09-30,-611.9639321708194,462.64026809402225,706.33470449122,-611.9639321708194,-611.9639321708194,1198.1925744696432,1198.1925744696432,1198.1925744696432,1198.1925744696432,1198.1925744696432,1198.1925744696432,0.0,0.0,0.0,586.2286422988238,577.5891
2005-12-31,-613.8497649853557,419.41906316107816,674.1882310234197,-613.8497649853557,-613.8497649853557,1160.2962047636918,1160.2962047636918,1160.2962047636918,1160.2962047636918,1160.2962047636918,1160.2962047636918,0.0,0.0,0.0,546.4464397783361,423.10259
2006-03-31,-615.6946014343587,375.88188636020817,627.9355298339204,-615.6946014343587,-615.6946014343587,1120.9710947367566,1120.9710947367566,1120.9710947367566,1120.9710947367566,1120.9710947367566,1120.9710947367566,0.0,0.0,0.0,505.27649330239797,536.97187
2006-06-30,-617.5599360661283,385.5544968543012,635.3626256342711,-617.5599360661283,-617.5599360661283,1127.7819503224107,1127.7819503224107,1127.7819503224107,1127.7819503224107,1127.7819503224107,1127.7819503224107,0.0,0.0,0.0,510.22201425628236,525.46014
2006-09-30,-619.4426368691126,459.5287994113297,713.3773661226187,-619.4426368691126,-619.4426368691126,1207.6357861084434,1207.6357861084434,1207.6357861084434,1207.6357861084434,1207.6357861084434,1207.6357861084434,0.0,0.0,0.0,588.1931492393309,551.70317
2006-12-31,-621.3253376720967,418.8402945815351,678.0851485808685,-621.3253376720967,-621.3253376720967,1174.9020311777317,1174.9020311777317,1174.9020311777317,1174.9020311777317,1174.9020311777317,1174.9020311777317,0.0,0.0,0.0,553.576693505635,522.81809
2007-03-31,-623.1671101967551,372.65080615620855,628.3837422911108,-623.1671101967551,-623.1671101967551,1121.9636380272377,1121.9636380272377,1121.9636380272377,1121.9636380272377,1121.9636380272377,1121.9636380272377,0.0,0.0,0.0,498.79652783048266,523.07908
2007-06-30,-625.0286567503084,378.67733218861156,636.3792654237834,-625.0286567503084,-625.0286567503084,1132.1347867201116,1132.1347867201116,1132.1347867201116,1132.1347867201116,1132.1347867201116,1132.1347867201116,0.0,0.0,0.0,507.1061299698032,468.52667
2007-09-30,-626.9106598593953,454.0852519638447,706.8618279268073,-626.9106598593953,-626.9106598593953,1205.9700478470202,1205.9700478470202,1205.9700478470202,1205.9700478470202,1205.9700478470202,1205.9700478470202,0.0,0.0,0.0,579.0593879876249,496.17447
2007-12-31,-628.7890329590131,441.20761942625165,689.6296674402802,-628.7890329590131,-628.7890329590131,1193.627405070999,1193.627405070999,1193.627405070999,1193.627405070999,1193.627405070999,1193.627405070999,0.0,0.0,0.0,564.8383721119859,678.38059
2008-03-31,-630.646988959722,366.0083873552794,608.7238919772852,-630.646988959722,-630.646988959722,1119.3118770210992,1119.3118770210992,1119.3118770210992,1119.3118770210992,1119.3118770210992,1119.3118770210992,0.0,0.0,0.0,488.66488806137727,487.73328
2008-06-30,-632.504944960431,357.03683124991824,605.1007630954709,-632.504944960431,-632.504944960431,1112.2066209938823,1112.2066209938823,1112.2066209938823,1112.2066209938823,1112.2066209938823,1112.2066209938823,0.0,0.0,0.0,479.70167603345135,510.05985
2008-09-30,-634.3802508019708,423.545826843665,676.357346371861,-634.3802508019708,-634.3802508019708,1177.682393235177,1177.682393235177,1177.682393235177,1177.682393235177,1177.682393235177,1177.682393235177,0.0,0.0,0.0,543.3021424332062,529.69009
