ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-8271.449761370734,-573.8813556987899,268.58572548373996,-8271.449761370734,-8271.449761370734,8123.739671526971,8123.739671526971,8123.739671526971,8123.739671526971,8123.739671526971,8123.739671526971,0.0,0.0,0.0,-147.71008984376294,0.0
2001-06-30,-8268.78980061564,-391.26169386200206,453.5570192618757,-8268.78980061564,-8268.78980061564,8307.775766369741,8307.775766369741,8307.775766369741,8307.775766369741,8307.775766369741,8307.775766369741,0.0,0.0,0.0,38.985965754101926,0.0
2001-09-30,-8266.100609522577,-308.05763958872393,537.5526478803183,-8266.100609522577,-8266.100609522577,8404.584129877781,8404.584129877781,8404.584129877781,8404.584129877781,8404.584129877781,8404.584129877781,0.0,0.0,0.0,138.48352035520475,0.0
2001-12-31,-8263.411418429514,-559.6486517059162,293.5486060440372,-8263.411418429514,-8263.411418429514,8141.43438960326,8141.43438960326,8141.43438960326,8141.43438960326,8141.43438960326,8141.43438960326,0.0,0.0,0.0,-121.97702882625435,0.0
2002-03-31,-8260.78068801972,-600.1660473456022,300.8868429749164,-8260.78068801972,-8260.78068801972,8122.429773241221,8122.429773241221,8122.429773241221,8122.429773241221,8122.429773241221,8122.429773241221,0.0,0.0,0.0,-138.35091477849983,0.0
2002-06-30,-8258.120727272038,-447.01127731400766,409.30279381251233,-8258.120727272038,-8258.120727272038,8246.059771917235,8246.059771917235,8246.059771917235,8246.059771917235,8246.059771917235,8246.059771917235,0.0,0.0,0.0,-12.06095535480381,0.0
2002-09-30,-8255.431536163615,-405.7626157312473,472.4321022115839,-8255.431536163615,-8255.431536163615,8282.753827362425,8282.753827362425,8282.753827362425,8282.753827362425,8282.753827362425,8282.753827362425,0.0,0.0,0.0,27.32229119881049,0.0
2002-12-31,-8252.74234505519,-587.8206902301425,278.5067259077126,-8252.74234505519,-8252.74234505519,8088.9480593788585,8088.9480593788585,8088.9480593788585,8088.9480593788585,8088.9480593788585,8088.9480593788585,0.0,0.0,0.0,-163.79428567633204,0.0
2003-03-31,-8250.111614623034,-600.7085761068477,242.0732077831823,-8250.111614623034,-8250.111614623034,8091.594891519202,8091.594891519202,8091.594891519202,8091.594891519202,8091.594891519202,8091.594891519202,0.0,0.0,0.0,-158.5167231038322,0.0
2003-06-30,-8247.451653832613,-505.88474819633876,347.24823764096004,-8247.451653832613,-8247.451653832613,8161.698260953902,8161.698260953902,8161.698260953902,8161.698260953902,8161.698260953902,8161.698260953902,0.0,0.0,0.0,-85.75339287871157,0.0
2003-09-30,-8244.762462703835,-561.0668136565388,306.71109532390113,-8244.762462703835,-8244.762462703835,8132.589159563698,8132.589159563698,8132.589159563698,8132.589159563698,8132.589159563698,8132.589159563698,0.0,0.0,0.0,-112.17330314013725,0.0
2003-12-31,-8242.073271575056,-653.4652901815233,230.61756368832658,-8242.073271575056,-8242.073271575056,8013.506975649748,8013.506975649748,8013.506975649748,8013.506975649748,8013.506975649748,8013.506975649748,0.0,0.0,0.0,-228.56629592530862,0.0
2004-03-31,-8239.413310789812,-566.4171795638229,291.4773527938496,-8239.413310789812,-8239.413310789812,8095.527634397003,8095.527634397003,8095.527634397003,8095.527634397003,8095.527634397003,8095.527634397003,0.0,0.0,0.0,-143.88567639280973,0.0
2004-06-30,-8236.753350004567,-329.3327297966057,532.6289156052804,-8236.753350004567,-8236.753350004567,8346.780022181427,8346.780022181427,8346.780022181427,8346.780022181427,8346.780022181427,8346.780022181427,0.0,0.0,0.0,110.0266721768603,0.0
2004-09-30,-8234.064158860312,-207.42870982812533,707.1748768459222,-8234.064158860312,-8234.064158860312,8497.9719029652,8497.9719029652,8497.9719029652,8497.9719029652,8497.9719029652,8497.9719029652,0.0,0.0,0.0,263.9077441048885,0.0
2004-12-31,-8231.374967716058,-474.9731338679038,352.7169453201635,-8231.374967716058,-8231.374967716058,8170.886286066652,8170.886286066652,8170.886286066652,8170.886286066652,8170.886286066652,8170.886286066652,0.0,0.0,0.0,-60.48868164940541,0.0
2005-03-31,-8228.74423724885,-511.84312115956897,343.2424767690752,-8228.74423724885,-8228.74423724885,8123.7396715268915,8123.7396715268915,8123.7396715268915,8123.7396715268915,8123.7396715268915,8123.7396715268915,0.0,0.0,0.0,-105.00456572195799,0.0
2005-06-30,-8226.08427644373,-336.2714183790172,541.4376590625309,-8226.08427644373,-8226.08427644373,8307.775766368683,8307.775766368683,8307.775766368683,8307.775766368683,8307.775766368683,8307.775766368683,0.0,0.0,0.0,81.6914899249532,0.0
2005-09-30,-8223.39508530009,-268.30546798552695,660.1036260950981,-8223.39508530009,-8223.39508530009,8404.584129876566,8404.584129876566,8404.584129876566,8404.584129876566,8404.584129876566,8404.584129876566,0.0,0.0,0.0,181.1890445764766,0.0
2005-12-31,-8220.705894145629,-490.77255674038673,368.2645239071459,-8220.705894145629,-8220.705894145629,8141.434389602702,8141.434389602702,8141.434389602702,8141.434389602702,8141.434389602702,8141.434389602702,0.0,0.0,0.0,-79.27150454292678,0.0
2006-03-31,-8218.075163668438,-533.5716558339212,304.07525205138404,-8218.075163668438,-8218.075163668438,8122.429773240733,8122.429773240733,8122.429773240733,8122.429773240733,8122.429773240733,8122.429773240733,0.0,0.0,0.0,-95.64539042770502,0.0
2006-06-30,-8215.415202852611,-409.0585327132864,464.07767055409175,-8215.415202852611,-8215.415202852611,8246.059771916027,8246.059771916027,8246.059771916027,8246.059771916027,8246.059771916027,8246.059771916027,0.0,0.0,0.0,30.644569063415474,0.0
2006-09-30,-8212.72601168394,-354.29512419687745,481.643843733214,-8212.72601168394,-8212.72601168394,8282.753827361033,8282.753827361033,8282.753827361033,8282.753827361033,8282.753827361033,8282.753827361033,0.0,0.0,0.0,70.0278156770928,0.0
2006-12-31,-8210.03682051527,-557.2442875728109,326.19551787561136,-8210.03682051527,-8210.03682051527,8088.948059378142,8088.948059378142,8088.948059378142,8088.948059378142,8088.948059378142,8088.948059378142,0.0,0.0,0.0,-121.08876113712813,0.0
2007-03-31,-8207.40609002418,-555.521012677455,315.6979137702067,-8207.40609002418,-8207.40609002418,8091.594891519599,8091.594891519599,8091.594891519599,8091.594891519599,8091.594891519599,8091.594891519599,0.0,0.0,0.0,-115.81119850458163,0.0
2007-06-30,-8204.746129162248,-492.2556868213281,354.02489146825235,-8204.746129162248,-8204.746129162248,8161.698260953234,8161.698260953234,8161.698260953234,8161.698260953234,8161.698260953234,8161.698260953234,0.0,0.0,0.0,-43.04786820901336,0.0
2007-09-30,-8202.056937961173,-502.4148259093978,392.09631817655776,-8202.056937961173,-8202.056937961173,8132.589159562116,8132.589159562116,8132.589159562116,8132.589159562116,8132.589159562116,8132.589159562116,0.0,0.0,0.0,-69.46777839905735,0.0
2007-12-31,-8199.362619321644,-616.1843959174814,231.72065908083428,-8199.362619321644,-8199.362619321644,8013.5069756494295,8013.5069756494295,8013.5069756494295,8013.5069756494295,8013.5069756494295,8013.5069756494295,0.0,0.0,0.0,-185.85564367221468,0.0
2008-03-31,-8196.697586754284,-555.6132937850817,313.51097558069284,-8196.697586754284,-8196.697586754284,8095.527634396961,8095.527634396961,8095.527634396961,8095.527634396961,8095.527634396961,8095.527634396961,0.0,0.0,0.0,-101.16995235732338,0.0
