ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-19984.272780739335,-1182.6675746568008,1650.2810788728589,-19984.272780739335,-19984.272780739335,20211.885357660838,20211.885357660838,20211.885357660838,20211.885357660838,20211.885357660838,20211.885357660838,0.0,0.0,0.0,227.6125769215032,313.209
2001-06-30,-19856.723738889148,-783.3328879158819,2006.4648031862089,-19856.723738889148,-19856.723738889148,20493.76971641185,20493.76971641185,20493.76971641185,20493.76971641185,20493.76971641185,20493.76971641185,0.0,0.0,0.0,637.0459775227027,310.955
2001-09-30,-19727.77305921643,-3901.65689294315,-935.243720471957,-19727.77305921643,-19727.77305921643,17404.289279094475,17404.289279094475,17404.289279094475,17404.289279094475,17404.289279094475,17404.289279094475,0.0,0.0,0.0,-2323.4837801219546,207.923
2001-12-31,-19598.82237954371,-1536.4078460297355,1219.6188282741214,-19598.82237954371,-19598.82237954371,19478.103660796456,19478.103660796456,19478.103660796456,19478.103660796456,19478.103660796456,19478.103660796456,0.0,0.0,0.0,-120.71871874725548,355.423
2002-03-31,-19472.67497579148,-1012.9938034174439,1741.0193661666526,-19472.67497579148,-19472.67497579148,19796.9680315946,19796.9680315946,19796.9680315946,19796.9680315946,19796.9680315946,19796.9680315946,0.0,0.0,0.0,324.2930558031185,720.163
2002-06-30,-19345.12593421978,-236.6559681382496,2705.2265796324286,-19345.12593421978,-19345.12593421978,20530.53886570665,20530.53886570665,20530.53886570665,20530.53886570665,20530.53886570665,20530.53886570665,0.0,0.0,0.0,1185.4129314868696,759.052
2002-09-30,-19216.17525431548,-2922.4234696671515,-136.41353977572098,-19216.17525431548,-19216.17525431548,17676.45525394438,17676.45525394438,17676.45525394438,17676.45525394438,17676.45525394438,17676.45525394438,0.0,0.0,0.0,-1539.7200003711005,629.221
2002-12-31,-19087.224574411175,-1002.0844353950657,1766.0980888796114,-19087.224574411175,-19087.224574411175,19415.990694986744,19415.990694986744,19415.990694986744,19415.990694986744,19415.990694986744,19415.990694986744,0.0,0.0,0.0,328.7661205755685,547.668
2003-03-31,-18961.07717015697,-1201.0130544790331,1600.8609612540374,-18961.07717015697,-18961.07717015697,19156.588629650734,19156.588629650734,19156.588629650734,19156.588629650734,19156.588629650734,19156.588629650734,0.0,0.0,0.0,195.51145949376587,576.555
2003-06-30,-18833.52812755866,-11.452442549004209,2907.5686911692164,-18833.52812755866,-18833.52812755866,20271.132591510952,20271.132591510952,20271.132591510952,20271.132591510952,20271.132591510952,20271.132591510952,0.0,0.0,0.0,1437.6044639522916,682.713
2003-09-30,-18704.577447129606,-2084.728137893664,898.7827008763002,-18704.577447129606,-18704.577447129606,18180.22881226157,18180.22881226157,18180.22881226157,18180.22881226157,18180.22881226157,18180.22881226157,0.0,0.0,0.0,-524.3486348680381,628.456
2003-12-31,-18575.626766700545,-515.8469482473491,2227.19428174698,-18575.626766700545,-18575.626766700545,19383.307927281574,19383.307927281574,19383.307927281574,19383.307927281574,19383.307927281574,19383.307927281574,0.0,0.0,0.0,807.681160581029,682.128
2004-03-31,-18448.07772417962,536.8339059356606,3377.03515538715,-18448.07772417962,-18448.07772417962,20398.715391601094,20398.715391601094,20398.715391601094,20398.715391601094,20398.715391601094,20398.715391601094,0.0,0.0,0.0,1950.6376674214735,796.83361
