ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,61042.668098414724,57689.86232668256,73720.22244744169,61042.668098414724,61042.668098414724,4084.8220945411013,4084.8220945411013,4084.8220945411013,4084.8220945411013,4084.8220945411013,4084.8220945411013,0.0,0.0,0.0,65127.490192955825,56802.126
2001-06-30,61125.26142041682,67382.24319423638,83119.523098291,61125.26142041682,61125.26142041682,13747.843772815711,13747.843772815711,13747.843772815711,13747.843772815711,13747.843772815711,13747.843772815711,0.0,0.0,0.0,74873.10519323254,57916.259
2001-09-30,61208.76236134202,51682.154343049835,68068.38723521325,61208.76236134202,61208.76236134202,-1473.832766555393,-1473.832766555393,-1473.832766555393,-1473.832766555393,-1473.832766555393,-1473.832766555393,0.0,0.0,0.0,59734.92959478663,52248.914
2001-12-31,61292.26330226721,47240.11672461865,63634.90115137621,61292.26330226721,61292.26330226721,-5096.184020075004,-5096.184020075004,-5096.184020075004,-5096.184020075004,-5096.184020075004,-5096.184020075004,0.0,0.0,0.0,56196.07928219221,49993.746
2002-03-31,61373.94900384948,58324.106883431596,74378.76014743988,61373.94900384948,61373.94900384948,4980.348850254359,4980.348850254359,4980.348850254359,4980.348850254359,4980.348850254359,4980.348850254359,0.0,0.0,0.0,66354.29785410383,62995.428
2002-06-30,61456.5423243382,68443.85133511784,84509.40903248267,61456.5423243382,61456.5423243382,15350.602843388195,15350.602843388195,15350.602843388195,15350.602843388195,15350.602843388195,15350.602843388195,0.0,0.0,0.0,76807.1451677264,79122.147
2002-09-30,61540.043262722844,52484.30504953194,68008.69593029378,61540.043262722844,61540.043262722844,-1047.904117198228,-1047.904117198228,-1047.904117198228,-1047.904117198228,-1047.904117198228,-1047.904117198228,0.0,0.0,0.0,60492.13914552462,63641.353
2002-12-31,61623.54420110748,48682.05239843611,64817.60301955475,61623.54420110748,61623.54420110748,-4970.633423567197,-4970.633423567197,-4970.633423567197,-4970.633423567197,-4970.633423567197,-4970.633423567197,0.0,0.0,0.0,56652.91077754028,58569.903
2003-03-31,61705.22990170115,60035.94623361931,76261.2928033136,61705.22990170115,61705.22990170115,6672.778678521986,6672.778678521986,6672.778678521986,6672.778678521986,6672.778678521986,6672.778678521986,0.0,0.0,0.0,68378.00858022313,64582.212
2003-06-30,61787.82321929388,69651.28862716575,86304.63101246482,61787.82321929388,61787.82321929388,16563.788370230464,16563.788370230464,16563.788370230464,16563.788370230464,16563.788370230464,16563.788370230464,0.0,0.0,0.0,78351.61158952434,82740.518
2003-09-30,61871.32415576126,54007.90791545955,69624.90756721696,61871.32415576126,61871.32415576126,-0.5848476272583345,-0.5848476272583345,-0.5848476272583345,-0.5848476272583345,-0.5848476272583345,-0.5848476272583345,0.0,0.0,0.0,61870.739308134,66295.58
2003-12-31,61954.82509222863,49399.83826547983,64400.68384069875,61954.82509222863,61954.82509222863,-5359.106784567614,-5359.106784567614,-5359.106784567614,-5359.106784567614,-5359.106784567614,-5359.106784567614,0.0,0.0,0.0,56595.718307661016,62188.018
2004-03-31,62037.41731989566,58319.10060943591,74216.15373575529,62037.41731989566,62037.41731989566,3988.4705511572975,3988.4705511572975,3988.4705511572975,3988.4705511572975,3988.4705511572975,3988.4705511572975,0.0,0.0,0.0,66025.88787105295,66811.20382
2004-06-30,62120.0095475627,65827.86911008679,81868.80919798015,62120.0095475627,62120.0095475627,11754.783189971356,11754.783189971356,11754.783189971356,11754.783189971356,11754.783189971356,11754.783189971356,0.0,0.0,0.0,73874.79273753407,70160.03796
2004-09-30,62203.3822841326,53174.33491613932,68637.39990106829,62203.3822841326,62203.3822841326,-1279.0904492231468,-1279.0904492231468,-1279.0904492231468,-1279.0904492231468,-1279.0904492231468,-1279.0904492231468,0.0,0.0,0.0,60924.29183490945,65435.50832
2004-12-31,62286.75502070249,48914.97631484493,64940.09951967711,62286.75502070249,62286.75502070249,-5732.644637728472,-5732.644637728472,-5732.644637728472,-5732.644637728472,-5732.644637728472,-5732.644637728472,0.0,0.0,0.0,56554.11038297402,66010.55827
2005-03-31,62368.31530647739,58539.15564631012,74481.98993237785,62368.31530647739,62368.31530647739,4084.8220945427624,4084.8220945427624,4084.8220945427624,4084.8220945427624,4084.8220945427624,4084.8220945427624,0.0,0.0,0.0,66453.13740102015,68815.00628
2005-06-30,62450.77729202,67738.78613181066,84199.75965284886,62450.77729202,62450.77729202,13747.843772825425,13747.843772825425,13747.843772825425,13747.843772825425,13747.843772825425,13747.843772825425,0.0,0.0,0.0,76198.62106484543,77119.85952
2005-09-30,62534.14545322791,52800.880544029176,68788.51661004669,62534.14545322791,62534.14545322791,-1473.832766545935,-1473.832766545935,-1473.832766545935,-1473.832766545935,-1473.832766545935,-1473.832766545935,0.0,0.0,0.0,61060.31268668197,64886.20435
2005-12-31,62617.513383410216,49646.74756661003,65854.38517937255,62617.513383410216,62617.513383410216,-5096.184020087017,-5096.184020087017,-5096.184020087017,-5096.184020087017,-5096.184020087017,-5096.184020087017,0.0,0.0,0.0,57521.329363323195,59500.1848
2006-03-31,62699.068967284205,59321.5806635688,75529.2852909487,62699.068967284205,62699.068967284205,4980.348850259684,4980.348850259684,4980.348850259684,4980.348850259684,4980.348850259684,4980.348850259684,0.0,0.0,0.0,67679.41781754389,76822.94796
2006-06-30,62781.53072431236,70582.58506816885,86351.12355806436,62781.53072431236,62781.53072431236,15350.602843386107,15350.602843386107,15350.602843386107,15350.602843386107,15350.602843386107,15350.602843386107,0.0,0.0,0.0,78132.13356769847,89131.41
2006-09-30,62864.8958189887,54096.6962872201,69501.89275048417,62864.8958189887,62864.8958189887,-1047.9041171962256,-1047.9041171962256,-1047.9041171962256,-1047.9041171962256,-1047.9041171962256,-1047.9041171962256,0.0,0.0,0.0,61816.991701792474,64369.20693
2006-12-31,62948.26091366504,50077.18386904144,66244.84932543644,62948.26091366504,62948.26091366504,-4970.633423542999,-4970.633423542999,-4970.633423542999,-4970.633423542999,-4970.633423542999,-4970.633423542999,0.0,0.0,0.0,57977.627490122046,58922.85078
2007-03-31,63029.8137236745,61624.78066208842,77062.63522910459,63029.8137236745,63029.8137236745,6672.778678506649,6672.778678506649,6672.778678506649,6672.778678506649,6672.778678506649,6672.778678506649,0.0,0.0,0.0,69702.59240218115,68774.79973
2007-06-30,63112.27258188342,71722.21408730853,87565.90725586584,63112.27258188342,63112.27258188342,16563.7883702271,16563.7883702271,16563.7883702271,16563.7883702271,16563.7883702271,16563.7883702271,0.0,0.0,0.0,79676.06095211052,72754.16756
2007-09-30,63195.63758139135,55439.016344323834,70911.54759411169,63195.63758139135,63195.63758139135,-0.5848476198028858,-0.5848476198028858,-0.5848476198028858,-0.5848476198028858,-0.5848476198028858,-0.5848476198028858,0.0,0.0,0.0,63195.05273377155,57160.84575
2007-12-31,63278.80110011156,50040.66480253106,65782.30773021674,63278.80110011156,63278.80110011156,-5359.106784571406,-5359.106784571406,-5359.106784571406,-5359.106784571406,-5359.106784571406,-5359.106784571406,0.0,0.0,0.0,57919.69431554015,48820.16127
2008-03-31,63361.06066754133,59889.01951440337,74924.59058091135,63361.06066754133,63361.06066754133,3988.470551161898,3988.470551161898,3988.470551161898,3988.470551161898,3988.470551161898,3988.470551161898,0.0,0.0,0.0,67349.53121870323,61236.95535
2008-06-30,63443.32023497109,66807.71280754019,82861.33829212943,63443.32023497109,63443.32023497109,11754.783189952781,11754.783189952781,11754.783189952781,11754.783189952781,11754.783189952781,11754.783189952781,0.0,0.0,0.0,75198.10342492387,78632.50659
