ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,2449.9807265791237,187889.128112344,198381.40524357697,2449.9807265791237,2449.9807265791237,190844.03255660835,190844.03255660835,190844.03255660835,190844.03255660835,190844.03255660835,190844.03255660835,0.0,0.0,0.0,193294.01328318747,192120.196
2001-06-30,2719.5798651769546,178816.66566398845,188490.91952303864,2719.5798651769546,2719.5798651769546,180760.85405591267,180760.85405591267,180760.85405591267,180760.85405591267,180760.85405591267,180760.85405591267,0.0,0.0,0.0,183480.43392108963,185538.569
2001-09-30,2992.141631671465,197702.2039192032,207855.91203829463,2992.141631671465,2992.141631671465,199793.18263560583,199793.18263560583,199793.18263560583,199793.18263560583,199793.18263560583,199793.18263560583,0.0,0.0,0.0,202785.3242672773,200933.987
2001-12-31,3264.7033981659756,184366.51003522758,194680.3985397348,3264.7033981659756,3264.7033981659756,186278.27444249083,186278.27444249083,186278.27444249083,186278.27444249083,186278.27444249083,186278.27444249083,0.0,0.0,0.0,189542.9778406568,190233.556
2002-03-31,3531.3399079850287,189370.5253549841,199611.21633503606,3531.3399079850287,3531.3399079850287,191010.38552841384,191010.38552841384,191010.38552841384,191010.38552841384,191010.38552841384,191010.38552841384,0.0,0.0,0.0,194541.72543639888,195624.784
2002-06-30,3800.939045690959,179301.1657751497,189258.3457727407,3800.939045690959,3800.939045690959,180432.11509950116,180432.11509950116,180432.11509950116,180432.11509950116,180432.11509950116,180432.11509950116,0.0,0.0,0.0,184233.05414519212,187841.15
2002-09-30,4073.5008118050214,200049.4618528754,209812.2217147423,4073.5008118050214,4073.5008118050214,200602.87843783005,200602.87843783005,200602.87843783005,200602.87843783005,200602.87843783005,200602.87843783005,0.0,0.0,0.0,204676.37924963507,205679.305
2002-12-31,4346.062577919084,186120.21578425608,196606.6515339755,4346.062577919084,4346.062577919084,187082.34355954448,187082.34355954448,187082.34355954448,187082.34355954448,187082.34355954448,187082.34355954448,0.0,0.0,0.0,191428.40613746355,190918.848
2003-03-31,4612.699088248059,191496.40305362252,202134.17647955398,4612.699088248059,4612.699088248059,192226.48292955794,192226.48292955794,192226.48292955794,192226.48292955794,192226.48292955794,192226.48292955794,0.0,0.0,0.0,196839.182017806,190086.214
2003-06-30,4882.2982274119795,180078.21205661062,190452.91124363808,4882.2982274119795,4882.2982274119795,180305.25084764272,180305.25084764272,180305.25084764272,180305.25084764272,180305.25084764272,180305.25084764272,0.0,0.0,0.0,185187.5490750547,183158.278
2003-09-30,5154.859994478801,201150.769127334,211106.30293269918,5154.859994478801,5154.859994478801,200926.17462765236,200926.17462765236,200926.17462765236,200926.17462765236,200926.17462765236,200926.17462765236,0.0,0.0,0.0,206081.03462213118,202260.277
2003-12-31,5427.421761545624,186597.6321595159,196974.41691062698,5427.421761545624,5427.421761545624,186422.2149941206,186422.2149941206,186422.2149941206,186422.2149941206,186422.2149941206,186422.2149941206,0.0,0.0,0.0,191849.6367556662,188227.926
