ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-8070.516782486486,7643.6199460748185,9080.244238728945,-8070.516782486486,-8070.516782486486,16474.72326395187,16474.72326395187,16474.72326395187,16474.72326395187,16474.72326395187,16474.72326395187,0.0,0.0,0.0,8404.206481465384,7600.231
2001-06-30,-8062.097004576938,7348.019151137076,8886.10948724045,-8062.097004576938,-8062.097004576938,16168.120339732168,16168.120339732168,16168.120339732168,16168.120339732168,16168.120339732168,16168.120339732168,0.0,0.0,0.0,8106.02333515523,8008.5
2001-09-30,-8053.584701635417,8815.925657851787,10466.33816804476,-8053.584701635417,-8053.584701635417,17690.607765322948,17690.607765322948,17690.607765322948,17690.607765322948,17690.607765322948,17690.607765322948,0.0,0.0,0.0,9637.023063687531,9190.943
2001-12-31,-8045.0723986938965,8485.965320643372,10006.334109977202,-8045.0723986938965,-8045.0723986938965,17296.867006239758,17296.867006239758,17296.867006239758,17296.867006239758,17296.867006239758,17296.867006239758,0.0,0.0,0.0,9251.79460754586,8879.634
2002-03-31,-8036.745145838658,7945.799242057889,9461.67402395922,-8036.745145838658,-8036.745145838658,16756.647764201105,16756.647764201105,16756.647764201105,16756.647764201105,16756.647764201105,16756.647764201105,0.0,0.0,0.0,8719.902618362448,8451.159
2002-06-30,-8028.325367951693,7567.939579497179,8992.301086019232,-8028.325367951693,-8028.325367951693,16298.075109236946,16298.075109236946,16298.075109236946,16298.075109236946,16298.075109236946,16298.075109236946,0.0,0.0,0.0,8269.749741285254,8298.833
2002-09-30,-8019.813065055192,8947.489186036331,10479.052391853644,-8019.813065055192,-8019.813065055192,17759.807100998947,17759.807100998947,17759.807100998947,17759.807100998947,17759.807100998947,17759.807100998947,0.0,0.0,0.0,9739.994035943755,9089.603
2002-12-31,-8011.300762158691,8393.015817364994,9926.75989375566,-8011.300762158691,-8011.300762158691,17170.90295242809,17170.90295242809,17170.90295242809,17170.90295242809,17170.90295242809,17170.90295242809,0.0,0.0,0.0,9159.602190269397,8648.128
2003-03-31,-8002.973509325157,8291.325687329256,9803.034805468204,-8002.973509325157,-8002.973509325157,17008.89328749469,17008.89328749469,17008.89328749469,17008.89328749469,17008.89328749469,17008.89328749469,0.0,0.0,0.0,9005.919778169535,8173.515
2003-06-30,-7994.55373147228,7586.866135264192,9136.623458218774,-7994.55373147228,-7994.55373147228,16343.679852619842,16343.679852619842,16343.679852619842,16343.679852619842,16343.679852619842,16343.679852619842,0.0,0.0,0.0,8349.126121147561,8910.136
2003-09-30,-7986.0414285880515,9074.75412225043,10568.472107981497,-7986.0414285880515,-7986.0414285880515,17790.046664175967,17790.046664175967,17790.046664175967,17790.046664175967,17790.046664175967,17790.046664175967,0.0,0.0,0.0,9804.005235587916,9694.049
2003-12-31,-7977.529125703823,8328.0950394574,9824.293302717733,-7977.529125703823,-7977.529125703823,17062.18569329297,17062.18569329297,17062.18569329297,17062.18569329297,17062.18569329297,17062.18569329297,0.0,0.0,0.0,9084.656567589147,9200.948
2004-03-31,-7969.109347904971,7402.490289195723,8885.10665328052,-7969.109347904971,-7969.109347904971,16162.694794039146,16162.694794039146,16162.694794039146,16162.694794039146,16162.694794039146,16162.694794039146,0.0,0.0,0.0,8193.585446134173,8382.58787
2004-06-30,-7960.68957010612,7209.856568153013,8740.726728795258,-7960.68957010612,-7960.68957010612,15953.9196420614,15953.9196420614,15953.9196420614,15953.9196420614,15953.9196420614,15953.9196420614,0.0,0.0,0.0,7993.23007195528,9188.78996
2004-09-30,-7952.177267325203,8908.693433027587,10359.797467716066,-7952.177267325203,-7952.177267325203,17583.126737538558,17583.126737538558,17583.126737538558,17583.126737538558,17583.126737538558,17583.126737538558,0.0,0.0,0.0,9630.949470213356,9421.60966
2004-12-31,-7943.664964544285,8728.742190805524,10232.23952596313,-7943.664964544285,-7943.664964544285,17440.040585877126,17440.040585877126,17440.040585877126,17440.040585877126,17440.040585877126,17440.040585877126,0.0,0.0,0.0,9496.375621332842,9624.86652
2005-03-31,-7935.337711823822,7787.226324335902,9239.185713264244,-7935.337711823822,-7935.337711823822,16474.72326395901,16474.72326395901,16474.72326395901,16474.72326395901,16474.72326395901,16474.72326395901,0.0,0.0,0.0,8539.385552135189,8532.17472
2005-06-30,-7926.920326711518,7477.941282084117,8983.716190195271,-7926.920326711518,-7926.920326711518,16168.120339733005,16168.120339733005,16168.120339733005,16168.120339733005,16168.120339733005,16168.120339733005,0.0,0.0,0.0,8241.200013021487,8763.54074
2005-09-30,-7918.410442861715,9007.896209391833,10501.741605839688,-7918.410442861715,-7918.410442861715,17690.607765319153,17690.607765319153,17690.607765319153,17690.607765319153,17690.607765319153,17690.607765319153,0.0,0.0,0.0,9772.19732245744,9377.97668
2005-12-31,-7909.903839182782,8670.828453046444,10145.83004163867,-7909.903839182782,-7909.903839182782,17296.867006237328,17296.867006237328,17296.867006237328,17296.867006237328,17296.867006237328,17296.867006237328,0.0,0.0,0.0,9386.963167054546,9296.71286
2006-03-31,-7901.582161670781,8052.097537292735,9582.96443556801,-7901.582161670781,-7901.582161670781,16756.647764207457,16756.647764207457,16756.647764207457,16756.647764207457,16756.647764207457,16756.647764207457,0.0,0.0,0.0,8855.065602536677,9504.08574
2006-06-30,-7893.168021075313,7699.739171032405,9116.477170290671,-7893.168021075313,-7893.168021075313,16298.075109238023,16298.075109238023,16298.075109238023,16298.075109238023,16298.075109238023,16298.075109238023,0.0,0.0,0.0,8404.90708816271,8474.55963
2006-09-30,-7884.695556131728,9120.918433706916,10639.034528239923,-7884.695556131728,-7884.695556131728,17759.807101004484,17759.807101004484,17759.807101004484,17759.807101004484,17759.807101004484,17759.807101004484,0.0,0.0,0.0,9875.111544872756,9678.84227
2006-12-31,-7876.2230911881425,8637.335711461805,10042.74381239846,-7876.2230911881425,-7876.2230911881425,17170.902952428645,17170.902952428645,17170.902952428645,17170.902952428645,17170.902952428645,17170.902952428645,0.0,0.0,0.0,9294.679861240504,9198.06236
2007-03-31,-7867.934810265071,8362.954976405468,9882.848181972819,-7867.934810265071,-7867.934810265071,17008.893287506606,17008.893287506606,17008.893287506606,17008.893287506606,17008.893287506606,17008.893287506606,0.0,0.0,0.0,9140.958477241535,9479.55607
2007-06-30,-7859.63938698116,7757.067588045905,9226.935024024362,-7859.63938698116,-7859.63938698116,16343.6798526195,16343.6798526195,16343.6798526195,16343.6798526195,16343.6798526195,16343.6798526195,0.0,0.0,0.0,8484.04046563834,8176.87493
2007-09-30,-7851.252805199626,9170.990733949464,10641.420414164822,-7851.252805199626,-7851.252805199626,17790.046664177236,17790.046664177236,17790.046664177236,17790.046664177236,17790.046664177236,17790.046664177236,0.0,0.0,0.0,9938.79385897761,10104.7349
2007-12-31,-7842.875855054364,8449.98523719498,9980.337954483291,-7842.875855054364,-7842.875855054364,17062.185693292755,17062.185693292755,17062.185693292755,17062.185693292755,17062.185693292755,17062.185693292755,0.0,0.0,0.0,9219.30983823839,9409.62827
2008-03-31,-7834.589958715029,7598.834404336785,9034.725341704074,-7834.589958715029,-7834.589958715029,16162.69479403531,16162.69479403531,16162.69479403531,16162.69479403531,16162.69479403531,16162.69479403531,0.0,0.0,0.0,8328.10483532028,9390.84377
2008-06-30,-7826.304062375694,7380.857284199536,8913.793323656193,-7826.304062375694,-7826.304062375694,15953.91964206025,15953.91964206025,15953.91964206025,15953.91964206025,15953.91964206025,15953.91964206025,0.0,0.0,0.0,8127.615579684555,8910.7952
2008-09-30,-7885.159098682323,8928.556664470587,10470.843748880026,-7885.159098682323,-7885.159098682323,17583.126737547092,17583.126737547092,17583.126737547092,17583.126737547092,17583.126737547092,17583.126737547092,0.0,0.0,0.0,9697.96763886477,10040.37244
2008-12-31,-7944.014134988953,8758.9416974663,10240.423797079586,-7944.014134988953,-7944.014134988953,17440.040585878418,17440.040585878418,17440.040585878418,17440.040585878418,17440.040585878418,17440.040585878418,0.0,0.0,0.0,9496.026450889465,9678.35517
2009-03-31,-8001.589713984567,7771.007133155909,9227.697094206724,-8001.589713984567,-8001.589713984567,16474.72326395347,16474.72326395347,16474.72326395347,16474.72326395347,16474.72326395347,16474.72326395347,0.0,0.0,0.0,8473.133549968903,8836.32688
2009-06-30,-8059.886286764595,7312.544478635358,8894.111372734304,-8059.886286764595,-8059.886286764595,16168.120339734089,16168.120339734089,16168.120339734089,16168.120339734089,16168.120339734089,16168.120339734089,0.0,0.0,0.0,8108.234052969494,8193.5147
