ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,2543.5402006720615,-298.6399754996135,798.3738411564001,2543.5402006720615,2543.5402006720615,-2293.0308655191684,-2293.0308655191684,-2293.0308655191684,-2293.0308655191684,-2293.0308655191684,-2293.0308655191684,0.0,0.0,0.0,250.50933515289307,411.386
2001-06-30,2571.5358293242625,-336.9104963634363,708.757226524237,2571.5358293242625,2571.5358293242625,-2381.0137623405485,-2381.0137623405485,-2381.0137623405485,-2381.0137623405485,-2381.0137623405485,-2381.0137623405485,0.0,0.0,0.0,190.522066983714,454.01
2001-09-30,2599.839102247367,161.60144236779126,1160.7238548552118,2599.839102247367,2599.839102247367,-1925.5935093898324,-1925.5935093898324,-1925.5935093898324,-1925.5935093898324,-1925.5935093898324,-1925.5935093898324,0.0,0.0,0.0,674.2455928575346,375.988
2001-12-31,2628.142375170472,-252.71909167837646,827.144101120463,2628.142375170472,2628.142375170472,-2356.0372259831065,-2356.0372259831065,-2356.0372259831065,-2356.0372259831065,-2356.0372259831065,-2356.0372259831065,0.0,0.0,0.0,272.10514918736544,204.693
2002-03-31,2655.830359553685,-158.74668263837867,888.1948184021549,2655.830359553685,2655.830359553685,-2294.945093029375,-2294.945093029375,-2294.945093029375,-2294.945093029375,-2294.945093029375,-2294.945093029375,0.0,0.0,0.0,360.8852665243098,191.505
2002-06-30,2683.825988207823,-252.06500141164625,809.7908788231186,2683.825988207823,2683.825988207823,-2384.9090413844265,-2384.9090413844265,-2384.9090413844265,-2384.9090413844265,-2384.9090413844265,-2384.9090413844265,0.0,0.0,0.0,298.9169468233963,230.229
2002-09-30,2712.129261135332,284.30694881868277,1322.4901467298175,2712.129261135332,2712.129261135332,-1899.9231588378263,-1899.9231588378263,-1899.9231588378263,-1899.9231588378263,-1899.9231588378263,-1899.9231588378263,0.0,0.0,0.0,812.2061022975056,523.626
2002-12-31,2740.4325340628416,-16.42041212755712,1041.1414399899886,2740.4325340628416,2740.4325340628416,-2236.035284700978,-2236.035284700978,-2236.035284700978,-2236.035284700978,-2236.035284700978,-2236.035284700978,0.0,0.0,0.0,504.3972493618635,434.82
2003-03-31,2768.120518448448,-54.80841296585277,989.4206950080826,2768.120518448448,2768.120518448448,-2278.7735428355813,-2278.7735428355813,-2278.7735428355813,-2278.7735428355813,-2278.7735428355813,-2278.7735428355813,0.0,0.0,0.0,489.3469756128666,381.839
2003-06-30,2796.11614710773,-89.25699493551211,915.9706349403134,2796.11614710773,2796.11614710773,-2378.3961785034867,-2378.3961785034867,-2378.3961785034867,-2378.3961785034867,-2378.3961785034867,-2378.3961785034867,0.0,0.0,0.0,417.71996860424315,355.655
