ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,47703.23042391115,-1318.3593134595183,1375.1522565680302,47703.23042391115,47703.23042391115,-47563.61040600661,-47563.61040600661,-47563.61040600661,-47563.61040600661,-47563.61040600661,-47563.61040600661,0.0,0.0,0.0,139.6200179045336,402.156
2001-06-30,47792.00485890008,-1434.0426986029856,1240.289474806086,47792.00485890008,47792.00485890008,-47900.01383142868,-47900.01383142868,-47900.01383142868,-47900.01383142868,-47900.01383142868,-47900.01383142868,0.0,0.0,0.0,-108.00897252860159,616.865
2001-09-30,47881.75483713065,895.2175518173893,3643.9835724559334,47881.75483713065,47881.75483713065,-45613.316948447,-45613.316948447,-45613.316948447,-45613.316948447,-45613.316948447,-45613.316948447,0.0,0.0,0.0,2268.4378886836494,2097.712
2001-12-31,47971.504815361215,-2047.5815013352865,696.1173090122375,47971.504815361215,47971.504815361215,-48631.890412568646,-48631.890412568646,-48631.890412568646,-48631.890412568646,-48631.890412568646,-48631.890412568646,0.0,0.0,0.0,-660.3855972074307,1079.338
2002-03-31,48059.303707066,-1094.7895212358221,1731.5593707673588,48059.303707066,48059.303707066,-47739.71915871089,-47739.71915871089,-47739.71915871089,-47739.71915871089,-47739.71915871089,-47739.71915871089,0.0,0.0,0.0,319.5845483551093,565.461
2002-06-30,48148.07814201195,-1316.8752389178928,1481.2654099438869,48148.07814201195,48148.07814201195,-48051.63231206028,-48051.63231206028,-48051.63231206028,-48051.63231206028,-48051.63231206028,-48051.63231206028,0.0,0.0,0.0,96.44582995167002,1039.256
2002-09-30,48237.82812013419,1214.9930406764256,3845.462431678086,48237.82812013419,48237.82812013419,-45684.24354936715,-45684.24354936715,-45684.24354936715,-45684.24354936715,-45684.24354936715,-45684.24354936715,0.0,0.0,0.0,2553.584570767038,2187.718
2002-12-31,48327.57809825644,-1506.5345304896973,1165.6896315968454,48327.57809825644,48327.57809825644,-48484.960719628856,-48484.960719628856,-48484.960719628856,-48484.960719628856,-48484.960719628856,-48484.960719628856,0.0,0.0,0.0,-157.3826213724169,594.494
2003-03-31,48415.37698989777,-549.520034051285,2198.150057168444,48415.37698989777,48415.37698989777,-47610.95299440167,-47610.95299440167,-47610.95299440167,-47610.95299440167,-47610.95299440167,-47610.95299440167,0.0,0.0,0.0,804.4239954961013,875.626
2003-06-30,48504.15142471314,-1025.1860564920532,1722.2636221737396,48504.15142471314,48504.15142471314,-48171.899835262324,-48171.899835262324,-48171.899835262324,-48171.899835262324,-48171.899835262324,-48171.899835262324,0.0,0.0,0.0,332.25158945081785,944.011
