ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,697.9484694601106,1795.1548367481303,3085.5727001034797,697.9484694601106,697.9484694601106,1753.988677159565,1753.988677159565,1753.988677159565,1753.988677159565,1753.988677159565,1753.988677159565,0.0,0.0,0.0,2451.9371466196753,2444.784
2001-06-30,680.1020224484697,744.1186756879712,2041.6350748414281,680.1020224484697,680.1020224484697,717.9689960522556,717.9689960522556,717.9689960522556,717.9689960522556,717.9689960522556,717.9689960522556,0.0,0.0,0.0,1398.0710185007254,1562.999
2001-09-30,662.0594606345031,2284.672996669084,3508.3877199825297,662.0594606345031,662.0594606345031,2256.3540602331736,2256.3540602331736,2256.3540602331736,2256.3540602331736,2256.3540602331736,2256.3540602331736,0.0,0.0,0.0,2918.4135208676767,2479.944
2001-12-31,644.0168988205367,2424.981155707066,3730.2138063146945,644.0168988205367,644.0168988205367,2423.0560780176675,2423.0560780176675,2423.0560780176675,2423.0560780176675,2423.0560780176675,2423.0560780176675,0.0,0.0,0.0,3067.0729768382043,2594.631
2002-03-31,626.3665666026433,1782.7207183006567,3046.576886826211,626.3665666026433,626.3665666026433,1780.3875852862377,1780.3875852862377,1780.3875852862377,1780.3875852862377,1780.3875852862377,1780.3875852862377,0.0,0.0,0.0,2406.754151888881,2558.406
2002-06-30,608.5201195823287,822.7127560821749,2099.970414477588,608.5201195823287,608.5201195823287,798.4590688437855,798.4590688437855,798.4590688437855,798.4590688437855,798.4590688437855,798.4590688437855,0.0,0.0,0.0,1406.9791884261142,1102.32
2002-09-30,590.4775577465493,2266.5012746494954,3513.604479177005,590.4775577465493,590.4775577465493,2294.4668405679263,2294.4668405679263,2294.4668405679263,2294.4668405679263,2294.4668405679263,2294.4668405679263,0.0,0.0,0.0,2884.9443983144756,2200.618
2002-12-31,572.43499591077,2372.467753643674,3636.927767265314,572.43499591077,572.43499591077,2432.600999199674,2432.600999199674,2432.600999199674,2432.600999199674,2432.600999199674,2432.600999199674,0.0,0.0,0.0,3005.0359951104438,2799.46
2003-03-31,554.7846636801162,1706.5823132818985,2958.218876793555,554.7846636801162,554.7846636801162,1779.2155597388746,1779.2155597388746,1779.2155597388746,1779.2155597388746,1779.2155597388746,1779.2155597388746,0.0,0.0,0.0,2334.0002234189906,2848.709
2003-06-30,536.938216654674,828.9928421701225,2092.3337624315304,536.938216654674,536.938216654674,901.7277979803653,901.7277979803653,901.7277979803653,901.7277979803653,901.7277979803653,901.7277979803653,0.0,0.0,0.0,1438.6660146350391,2494.133
2003-09-30,518.8956548267543,2205.644070545467,3435.7812368563414,518.8956548267543,518.8956548267543,2317.6922693089905,2317.6922693089905,2317.6922693089905,2317.6922693089905,2317.6922693089905,2317.6922693089905,0.0,0.0,0.0,2836.5879241357447,2860.219
