ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-3976.0517401748325,565.1361038196457,2369.4090104463457,-3976.0517401748325,-3976.0517401748325,5435.202065860957,5435.202065860957,5435.202065860957,5435.202065860957,5435.202065860957,5435.202065860957,0.0,0.0,0.0,1459.1503256861247,2588.726
2001-06-30,-3953.3405401139375,-684.6046225989217,1317.7136175512019,-3953.3405401139375,-3953.3405401139375,4309.078473148092,4309.078473148092,4309.078473148092,4309.078473148092,4309.078473148092,4309.078473148092,0.0,0.0,0.0,355.73793303415414,2572.95
2001-09-30,-3930.379766425999,1823.3338341459653,3801.557201847727,-3930.379766425999,-3930.379766425999,6731.077053762505,6731.077053762505,6731.077053762505,6731.077053762505,6731.077053762505,6731.077053762505,0.0,0.0,0.0,2800.6972873365057,2467.637
2001-12-31,-3907.4189927380608,783.4739033323433,2744.5505553689454,-3907.4189927380608,-3907.4189927380608,5694.867218746096,5694.867218746096,5694.867218746096,5694.867218746096,5694.867218746096,5694.867218746096,0.0,0.0,0.0,1787.4482260080354,1744.932
2002-03-31,-3884.9573663794513,285.6976108583682,2172.5286311253863,-3884.9573663794513,-3884.9573663794513,5107.60299437826,5107.60299437826,5107.60299437826,5107.60299437826,5107.60299437826,5107.60299437826,0.0,0.0,0.0,1222.6456279988083,1521.904
2002-06-30,-3862.2461663946347,-556.3541442831302,1373.38156310147,-3862.2461663946347,-3862.2461663946347,4247.43118441985,4247.43118441985,4247.43118441985,4247.43118441985,4247.43118441985,4247.43118441985,0.0,0.0,0.0,385.1850180252154,455.189
2002-09-30,-3839.2853928651875,1900.914737310687,3975.938192455505,-3839.2853928651875,-3839.2853928651875,6767.4846326999905,6767.4846326999905,6767.4846326999905,6767.4846326999905,6767.4846326999905,6767.4846326999905,0.0,0.0,0.0,2928.199239834803,1119.842
2002-12-31,-3816.3246193357404,1061.6002423521375,3131.18012373352,-3816.3246193357404,-3816.3246193357404,5876.7721234126675,5876.7721234126675,5876.7721234126675,5876.7721234126675,5876.7721234126675,5876.7721234126675,0.0,0.0,0.0,2060.447504076927,1622.376
2003-03-31,-3793.862993056934,-38.81706289710052,1952.4642864581044,-3793.862993056934,-3793.862993056934,4764.042713726872,4764.042713726872,4764.042713726872,4764.042713726872,4764.042713726872,4764.042713726872,0.0,0.0,0.0,970.1797206699375,1888.04
2003-06-30,-3771.1517932258203,-552.4720843963847,1418.007850427065,-3771.1517932258203,-3771.1517932258203,4192.015764575803,4192.015764575803,4192.015764575803,4192.015764575803,4192.015764575803,4192.015764575803,0.0,0.0,0.0,420.8639713499824,424.473
