ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-467.34928191336866,293.5896454166017,410.6032390392574,-467.34928191336866,-467.34928191336866,817.5001204158365,817.5001204158365,817.5001204158365,817.5001204158365,817.5001204158365,817.5001204158365,0.0,0.0,0.0,350.1508385024678,336.174
2001-06-30,-464.8520846054957,230.6248862636328,342.0691922162342,-464.8520846054957,-464.8520846054957,747.273036146434,747.273036146434,747.273036146434,747.273036146434,747.273036146434,747.273036146434,0.0,0.0,0.0,282.42095154093835,325.185
2001-09-30,-462.3274455689648,310.9640512407184,429.4577088149172,-462.3274455689648,-462.3274455689648,830.6438788333228,830.6438788333228,830.6438788333228,830.6438788333228,830.6438788333228,830.6438788333228,0.0,0.0,0.0,368.316433264358,332.595
2001-12-31,-459.80280653243386,308.1933142536748,425.43128243906904,-459.80280653243386,-459.80280653243386,826.3606015256876,826.3606015256876,826.3606015256876,826.3606015256876,826.3606015256876,826.3606015256876,0.0,0.0,0.0,366.5577949932537,293.429
2002-03-31,-457.3330509521158,294.9908568474365,412.12535258414897,-457.3330509521158,-457.3330509521158,811.7032554187188,811.7032554187188,811.7032554187188,811.7032554187188,811.7032554187188,811.7032554187188,0.0,0.0,0.0,354.37020446660296,347.961
2002-06-30,-454.83585364312756,254.7298199905216,369.5173354116405,-454.83585364312756,-454.83585364312756,762.9603092051493,762.9603092051493,762.9603092051493,762.9603092051493,762.9603092051493,762.9603092051493,0.0,0.0,0.0,308.12445556202175,316.892
2002-09-30,-452.3112146069028,324.9029491835527,441.0031493027996,-452.3112146069028,-452.3112146069028,837.0497941827194,837.0497941827194,837.0497941827194,837.0497941827194,837.0497941827194,837.0497941827194,0.0,0.0,0.0,384.73857957581663,324.257
2002-12-31,-449.7865755706781,324.44009048136974,441.1307972464437,-449.7865755706781,-449.7865755706781,834.2087951750578,834.2087951750578,834.2087951750578,834.2087951750578,834.2087951750578,834.2087951750578,0.0,0.0,0.0,384.42221960437973,382.693
2003-03-31,-447.3168199917626,294.23268740709966,410.6430327208404,-447.3168199917626,-447.3168199917626,801.0464854431212,801.0464854431212,801.0464854431212,801.0464854431212,801.0464854431212,801.0464854431212,0.0,0.0,0.0,353.72966545135864,388.904
2003-06-30,-444.81962268947865,273.12798638948885,393.4682244380114,-444.81962268947865,-444.81962268947865,779.2572399285067,779.2572399285067,779.2572399285067,779.2572399285067,779.2572399285067,779.2572399285067,0.0,0.0,0.0,334.43761723902804,387.986
2003-09-30,-442.29498365859814,336.8556189110525,452.84069820878307,-442.29498365859814,-442.29498365859814,839.1237953101106,839.1237953101106,839.1237953101106,839.1237953101106,839.1237953101106,839.1237953101106,0.0,0.0,0.0,396.82881165151247,395.379
2003-12-31,-439.7703446277175,349.2861134805669,460.3890361927645,-439.7703446277175,-439.7703446277175,843.3657814080043,843.3657814080043,843.3657814080043,843.3657814080043,843.3657814080043,843.3657814080043,0.0,0.0,0.0,403.5954367802868,408.369
2004-03-31,-437.2731473284491,322.82653285024077,442.9643001255711,-437.2731473284491,-437.2731473284491,818.4223638815768,818.4223638815768,818.4223638815768,818.4223638815768,818.4223638815768,818.4223638815768,0.0,0.0,0.0,381.14921655312764,408.94516
2004-06-30,-434.7759500291805,239.30571367942915,356.4234459362498,-434.7759500291805,-434.7759500291805,732.2228134172825,732.2228134172825,732.2228134172825,732.2228134172825,732.2228134172825,732.2228134172825,0.0,0.0,0.0,297.44686338810203,349.78593
2004-09-30,-432.25131100527966,332.70682415949614,446.24062234612364,-432.25131100527966,-432.25131100527966,819.9151320856516,819.9151320856516,819.9151320856516,819.9151320856516,819.9151320856516,819.9151320856516,0.0,0.0,0.0,387.663821080372,436.47946
2004-12-31,-429.7266719813788,335.92995260104396,448.9676959102042,-429.7266719813788,-429.7266719813788,819.820044522537,819.820044522537,819.820044522537,819.820044522537,819.820044522537,819.820044522537,0.0,0.0,0.0,390.09337254115826,446.50226
2005-03-31,-427.2569164145192,331.20758135943134,446.49370543143857,-427.2569164145192,-427.2569164145192,817.5001204158458,817.5001204158458,817.5001204158458,817.5001204158458,817.5001204158458,817.5001204158458,0.0,0.0,0.0,390.2432040013266,446.60225
2005-06-30,-424.7597191243071,263.6501385879847,388.1525771160974,-424.7597191243071,-424.7597191243071,747.2730361466249,747.2730361466249,747.2730361466249,747.2730361466249,747.2730361466249,747.2730361466249,0.0,0.0,0.0,322.51331702231784,334.68136
2005-09-30,-422.2350801056312,349.60486059705505,470.7992954402392,-422.2350801056312,-422.2350801056312,830.6438788334184,830.6438788334184,830.6438788334184,830.6438788334184,830.6438788334184,830.6438788334184,0.0,0.0,0.0,408.4087987277872,469.68347
2005-12-31,-419.7104410842897,348.5763988461264,466.3733081590643,-419.7104410842897,-419.7104410842897,826.3606015257493,826.3606015257493,826.3606015257493,826.3606015257493,826.3606015257493,826.3606015257493,0.0,0.0,0.0,406.6501604414596,429.0463
2006-03-31,-417.2406855199339,333.38674294451357,454.42830707924077,-417.2406855199339,-417.2406855199339,811.7032554187437,811.7032554187437,811.7032554187437,811.7032554187437,811.7032554187437,811.7032554187437,0.0,0.0,0.0,394.46256989880976,388.12979
2006-06-30,-414.74348822708515,286.06690857123476,405.94284689823667,-414.74348822708515,-414.74348822708515,762.9603092053919,762.9603092053919,762.9603092053919,762.9603092053919,762.9603092053919,762.9603092053919,0.0,0.0,0.0,348.21682097830677,329.36242
2006-09-30,-412.2188492075039,370.96698855834745,481.25663424545365,-412.2188492075039,-412.2188492075039,837.0497941827808,837.0497941827808,837.0497941827808,837.0497941827808,837.0497941827808,837.0497941827808,0.0,0.0,0.0,424.8309449752769,421.7116
2006-12-31,-409.6942101879228,365.0627106433623,478.07074114292396,-409.6942101879228,-409.6942101879228,834.2087951751212,834.2087951751212,834.2087951751212,834.2087951751212,834.2087951751212,834.2087951751212,0.0,0.0,0.0,424.51458498719836,388.18438
2007-03-31,-407.22445462528896,335.25151431449484,449.49206095338275,-407.22445462528896,-407.22445462528896,801.0464854431686,801.0464854431686,801.0464854431686,801.0464854431686,801.0464854431686,801.0464854431686,0.0,0.0,0.0,393.8220308178797,293.107
2007-06-30,-404.7272573378663,316.3883144322465,432.967343415514,-404.7272573378663,-404.7272573378663,779.257239928678,779.257239928678,779.257239928678,779.257239928678,779.257239928678,779.257239928678,0.0,0.0,0.0,374.5299825908117,325.34836
2007-09-30,-402.2026183220104,379.8036328388557,496.3372190268439,-402.2026183220104,-402.2026183220104,839.1237953101852,839.1237953101852,839.1237953101852,839.1237953101852,839.1237953101852,839.1237953101852,0.0,0.0,0.0,436.9211769881748,345.85903
2007-12-31,-399.677979306489,385.0100005738194,503.0136080516731,-399.677979306489,-399.677979306489,843.3657814081005,843.3657814081005,843.3657814081005,843.3657814081005,843.3657814081005,843.3657814081005,0.0,0.0,0.0,443.68780210161145,390.78667
2008-03-31,-397.1807820193972,361.9739937655279,475.80005104558643,-397.1807820193972,-397.1807820193972,818.4223638815802,818.4223638815802,818.4223638815802,818.4223638815802,818.4223638815802,818.4223638815802,0.0,0.0,0.0,421.24158186218295,350.90068
2008-06-30,-394.6835847323054,281.8094828745287,394.0164525466217,-394.6835847323054,-394.6835847323054,732.2228134172838,732.2228134172838,732.2228134172838,732.2228134172838,732.2228134172838,732.2228134172838,0.0,0.0,0.0,337.53922868497835,283.15907
2008-09-30,-392.158945715815,368.53085394229294,486.5646481958519,-392.158945715815,-392.158945715815,819.9151320857133,819.9151320857133,819.9151320857133,819.9151320857133,819.9151320857133,819.9151320857133,0.0,0.0,0.0,427.7561863698983,351.59871
2008-12-31,-389.63430669932444,368.8948500652434,489.4180282196598,-389.63430669932444,-389.63430669932444,819.8200445226043,819.8200445226043,819.8200445226043,819.8200445226043,819.8200445226043,819.8200445226043,0.0,0.0,0.0,430.1857378232799,351.67242
2009-03-31,-387.16455113971426,368.6085233493017,488.1492307142043,-387.16455113971426,-387.16455113971426,817.5001204158013,817.5001204158013,817.5001204158013,817.5001204158013,817.5001204158013,817.5001204158013,0.0,0.0,0.0,430.3355692760871,328.15409
2009-06-30,-384.66735385246363,310.20296372289124,421.65724018268537,-384.66735385246363,-384.66735385246363,747.2730361465517,747.2730361465517,747.2730361465517,747.2730361465517,747.2730361465517,747.2730361465517,0.0,0.0,0.0,362.60568229408807,280.23248
2009-09-30,-382.1427148367817,390.9540965728786,506.16850609440144,-382.1427148367817,-382.1427148367817,830.6438788333917,830.6438788333917,830.6438788333917,830.6438788333917,830.6438788333917,830.6438788333917,0.0,0.0,0.0,448.50116399661,444.77179
2009-12-31,-379.6180758168472,392.0968214344661,507.25026758583124,-379.6180758168472,-379.6180758168472,826.3606015257407,826.3606015257407,826.3606015257407,826.3606015257407,826.3606015257407,826.3606015257407,0.0,0.0,0.0,446.7425257088935,477.98212
2010-03-31,-377.14832025386784,378.53342508103174,488.7624259197335,-377.14832025386784,-377.14832025386784,811.7032554187855,811.7032554187855,811.7032554187855,811.7032554187855,811.7032554187855,811.7032554187855,0.0,0.0,0.0,434.55493516491765,494.8178
2010-06-30,-374.65112296241097,327.55586620842354,442.6701662952204,-374.65112296241097,-374.65112296241097,762.9603092053227,762.9603092053227,762.9603092053227,762.9603092053227,762.9603092053227,762.9603092053227,0.0,0.0,0.0,388.3091862429117,418.44007
2010-09-30,-372.12648394795906,408.3216353067521,522.3731087286137,-372.12648394795906,-372.12648394795906,837.0497941826912,837.0497941826912,837.0497941826912,837.0497941826912,837.0497941826912,837.0497941826912,0.0,0.0,0.0,464.9233102347322,503.46755
2010-12-31,-369.6018449335072,406.1862384085088,522.9148670733049,-369.6018449335072,-369.6018449335072,834.2087951751465,834.2087951751465,834.2087951751465,834.2087951751465,834.2087951751465,834.2087951751465,0.0,0.0,0.0,464.6069502416393,517.81828
