ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-17956.528488914086,9286.8260908152,11418.67100812245,-17956.528488914086,-17956.528488914086,28303.573318461105,28303.573318461105,28303.573318461105,28303.573318461105,28303.573318461105,28303.573318461105,0.0,0.0,0.0,10347.04482954702,10177.813
2001-06-30,-17981.893810724425,8700.064403841867,10849.370697635532,-17981.893810724425,-17981.893810724425,27800.455542736763,27800.455542736763,27800.455542736763,27800.455542736763,27800.455542736763,27800.455542736763,0.0,0.0,0.0,9818.561732012338,9842.961
2001-09-30,-18007.53787233488,10667.568092010688,12761.973702456811,-18007.53787233488,-18007.53787233488,29719.620512875994,29719.620512875994,29719.620512875994,29719.620512875994,29719.620512875994,29719.620512875994,0.0,0.0,0.0,11712.082640541114,11149.912
2001-12-31,-18033.181933945336,9458.514519227581,11541.841961508006,-18033.181933945336,-18033.181933945336,28524.1055961046,28524.1055961046,28524.1055961046,28524.1055961046,28524.1055961046,28524.1055961046,0.0,0.0,0.0,10490.923662159264,10082.771
2002-03-31,-18058.268516036962,9422.93783436719,11409.10608581478,-18058.268516036962,-18058.268516036962,28568.653209387354,28568.653209387354,28568.653209387354,28568.653209387354,28568.653209387354,28568.653209387354,0.0,0.0,0.0,10510.384693350392,8892.732
2002-06-30,-18083.633837929603,8925.841953101974,10956.329644338552,-18083.633837929603,-18083.633837929603,28005.683585717736,28005.683585717736,28005.683585717736,28005.683585717736,28005.683585717736,28005.683585717736,0.0,0.0,0.0,9922.049747788133,9481.084
2002-09-30,-18109.277899744273,10586.010458234392,12614.262907952358,-18109.277899744273,-18109.277899744273,29708.969978703928,29708.969978703928,29708.969978703928,29708.969978703928,29708.969978703928,29708.969978703928,0.0,0.0,0.0,11599.692078959655,11474.619
2002-12-31,-18134.92196155894,9232.049026957426,11339.314678425186,-18134.92196155894,-18134.92196155894,28471.302035686043,28471.302035686043,28471.302035686043,28471.302035686043,28471.302035686043,28471.302035686043,0.0,0.0,0.0,10336.380074127104,9959.048
2003-03-31,-18160.008543768938,9540.666839368298,11536.170936524944,-18160.008543768938,-18160.008543768938,28760.628045822123,28760.628045822123,28760.628045822123,28760.628045822123,28760.628045822123,28760.628045822123,0.0,0.0,0.0,10600.619502053185,9791.251
2003-06-30,-18185.37386601488,8746.930425510756,10805.969246198887,-18185.37386601488,-18185.37386601488,28041.15242821034,28041.15242821034,28041.15242821034,28041.15242821034,28041.15242821034,28041.15242821034,0.0,0.0,0.0,9855.778562195457,9360.27
