ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,251.02915412074728,238.75896032333793,301.78783293265127,251.02915412074728,251.02915412074728,18.58876117646805,18.58876117646805,18.58876117646805,18.58876117646805,18.58876117646805,18.58876117646805,0.0,0.0,0.0,269.61791529721535,306.992
2001-06-30,253.93403128732672,226.3836329253963,290.16551405728126,253.93403128732672,253.93403128732672,4.43097358228323,4.43097358228323,4.43097358228323,4.43097358228323,4.43097358228323,4.43097358228323,0.0,0.0,0.0,258.36500486960995,263.841
2001-09-30,256.87083018101146,238.5947569654257,300.0809733027656,256.87083018101146,256.87083018101146,12.855969103306826,12.855969103306826,12.855969103306826,12.855969103306826,12.855969103306826,12.855969103306826,0.0,0.0,0.0,269.7267992843183,299.482
2001-12-31,259.8076290746962,245.0844241256015,306.98302561781776,259.8076290746962,259.8076290746962,16.82198237829957,16.82198237829957,16.82198237829957,16.82198237829957,16.82198237829957,16.82198237829957,0.0,0.0,0.0,276.6296114529958,322.306
2002-03-31,262.6805845138957,254.96191046611025,313.4769644779027,262.6805845138957,262.6805845138957,21.67731155347182,21.67731155347182,21.67731155347182,21.67731155347182,21.67731155347182,21.67731155347182,0.0,0.0,0.0,284.35789606736756,281.46701
2002-06-30,265.58546168019734,244.09041314083942,306.53358231606336,265.58546168019734,265.58546168019734,9.223232273532197,9.223232273532197,9.223232273532197,9.223232273532197,9.223232273532197,9.223232273532197,0.0,0.0,0.0,274.8086939537295,248.86001
2002-09-30,268.522260572201,255.79533797228723,316.9100729287485,268.522260572201,268.522260572201,18.572220265745955,18.572220265745955,18.572220265745955,18.572220265745955,18.572220265745955,18.572220265745955,0.0,0.0,0.0,287.09448083794695,273.386
2002-12-31,271.45905946420453,267.8508546849508,328.8052254070889,271.45905946420453,271.45905946420453,26.891671797383008,26.891671797383008,26.891671797383008,26.891671797383008,26.891671797383008,26.891671797383008,0.0,0.0,0.0,298.35073126158755,311.24001
2003-03-31,274.3320149020342,269.8804983267883,330.109279069637,274.3320149020342,274.3320149020342,26.612693473557783,26.612693473557783,26.612693473557783,26.612693473557783,26.612693473557783,26.612693473557783,0.0,0.0,0.0,300.944708375592,346.98401
2003-06-30,277.2368920672623,263.0299977579622,327.28196096798547,277.2368920672623,277.2368920672623,17.317656254207623,17.317656254207623,17.317656254207623,17.317656254207623,17.317656254207623,17.317656254207623,0.0,0.0,0.0,294.55454832146995,313.534
2003-09-30,280.17369095958094,274.4619280453738,336.55343564744175,280.17369095958094,280.17369095958094,25.251770482588626,25.251770482588626,25.251770482588626,25.251770482588626,25.251770482588626,25.251770482588626,0.0,0.0,0.0,305.42546144216954,323.964
2003-12-31,283.11048985189956,286.2297400171656,347.496091886006,283.11048985189956,283.11048985189956,32.870199832156466,32.870199832156466,32.870199832156466,32.870199832156466,32.870199832156466,32.870199832156466,0.0,0.0,0.0,315.980689684056,313.211
2004-03-31,286.01536701660314,272.2065712760505,335.4928245924532,286.01536701660314,286.01536701660314,17.404635982199657,17.404635982199657,17.404635982199657,17.404635982199657,17.404635982199657,17.404635982199657,0.0,0.0,0.0,303.4200029988028,266.90553
2004-06-30,288.92024418130677,262.15999738296324,323.6347970661193,288.92024418130677,288.92024418130677,2.9319778266670675,2.9319778266670675,2.9319778266670675,2.9319778266670675,2.9319778266670675,2.9319778266670675,0.0,0.0,0.0,291.85222200797386,254.62831
2004-09-30,291.857543738929,269.5891628323094,329.77344700569466,291.857543738929,291.857543738929,8.066942929521948,8.066942929521948,8.066942929521948,8.066942929521948,8.066942929521948,8.066942929521948,0.0,0.0,0.0,299.9244866684509,313.79704
2004-12-31,294.79484329655116,266.0001768217625,330.1340332239015,294.79484329655116,294.79484329655116,2.6754193575444685,2.6754193575444685,2.6754193575444685,2.6754193575444685,2.6754193575444685,2.6754193575444685,0.0,0.0,0.0,297.4702626540956,288.35759
2005-03-31,297.66828851596415,284.77518397901497,347.1181177453412,297.66828851596415,297.66828851596415,18.588761176227727,18.588761176227727,18.588761176227727,18.588761176227727,18.588761176227727,18.588761176227727,0.0,0.0,0.0,316.25704969219186,297.07942
2005-06-30,300.5741602617208,274.68639645565196,334.68746590011534,300.5741602617208,300.5741602617208,4.430973582299999,4.430973582299999,4.430973582299999,4.430973582299999,4.430973582299999,4.430973582299999,0.0,0.0,0.0,305.0051338440208,303.67387
2005-09-30,303.51196466402433,286.6433945507164,349.0392622890969,303.51196466402433,303.51196466402433,12.855969103730914,12.855969103730914,12.855969103730914,12.855969103730914,12.855969103730914,12.855969103730914,0.0,0.0,0.0,316.36793376775523,302.94279
2005-12-31,306.45150455236654,288.2574339744411,352.62069549603507,306.45150455236654,306.45150455236654,16.82198237840723,16.82198237840723,16.82198237840723,16.82198237840723,16.82198237840723,16.82198237840723,0.0,0.0,0.0,323.2734869307738,304.59646
2006-03-31,309.3271413996579,298.1674287872992,361.64961668888066,309.3271413996579,309.3271413996579,21.677311553235068,21.677311553235068,21.677311553235068,21.677311553235068,21.677311553235068,21.677311553235068,0.0,0.0,0.0,331.00445295289296,303.99387
2006-06-30,312.23472976747473,291.04057691248363,350.5488134079923,312.23472976747473,312.23472976747473,9.223232273491119,9.223232273491119,9.223232273491119,9.223232273491119,9.223232273491119,9.223232273491119,0.0,0.0,0.0,321.45796204096587,304.28078
2006-09-30,315.175991619412,302.59724616293147,364.14156266497633,315.175991619412,315.175991619412,18.572220265518332,18.572220265518332,18.572220265518332,18.572220265518332,18.572220265518332,18.572220265518332,0.0,0.0,0.0,333.74821188493036,338.53706
2006-12-31,318.1172534713493,314.2732522147167,377.95927124005556,318.1172534713493,318.1172534713493,26.891671797464276,26.891671797464276,26.891671797464276,26.891671797464276,26.891671797464276,26.891671797464276,0.0,0.0,0.0,345.0089252688135,327.38505
2007-03-31,320.99457484824444,315.0243810889073,378.281666383418,320.99457484824444,320.99457484824444,26.61269347274553,26.61269347274553,26.61269347274553,26.61269347274553,26.61269347274553,26.61269347274553,0.0,0.0,0.0,347.60726832099,309.71205
2007-06-30,323.9046444241099,310.9979566408139,372.053276128937,323.9046444241099,323.9046444241099,17.317656254230943,17.317656254230943,17.317656254230943,17.317656254230943,17.317656254230943,17.317656254230943,0.0,0.0,0.0,341.22230067834084,332.92897
2007-09-30,326.84669278652336,320.02387857024655,383.33893174479,326.84669278652336,326.84669278652336,25.251770482606286,25.251770482606286,25.251770482606286,25.251770482606286,25.251770482606286,25.251770482606286,0.0,0.0,0.0,352.09846326912964,337.88531
2007-12-31,329.7889341805633,330.0375440488276,394.8423208092921,329.7889341805633,329.7889341805633,32.8701998321276,32.8701998321276,32.8701998321276,32.8701998321276,32.8701998321276,32.8701998321276,0.0,0.0,0.0,362.65913401269086,344.00493
2008-03-31,332.6991946898853,315.0225016607151,381.73819872307865,332.6991946898853,332.6991946898853,17.40463598246588,17.40463598246588,17.40463598246588,17.40463598246588,17.40463598246588,17.40463598246588,0.0,0.0,0.0,350.1038306723512,343.25618
