ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-39003.706736567125,10529.323761569918,11757.199367109646,-39003.706736567125,-39003.706736567125,50180.163130238696,50180.163130238696,50180.163130238696,50180.163130238696,50180.163130238696,50180.163130238696,0.0,0.0,0.0,11176.456393671571,11861.191
2001-06-30,-38970.34330418458,8748.487429969793,9919.175090400598,-38970.34330418458,-38970.34330418458,48312.84443836886,48312.84443836886,48312.84443836886,48312.84443836886,48312.84443836886,48312.84443836886,0.0,0.0,0.0,9342.501134184284,10581.918
2001-09-30,-38936.61324067694,10929.679584390176,12164.948450833032,-38936.61324067694,-38936.61324067694,50467.390257688596,50467.390257688596,50467.390257688596,50467.390257688596,50467.390257688596,50467.390257688596,0.0,0.0,0.0,11530.777017011656,11014.193
2001-12-31,-38902.883177169315,10878.601308624538,12150.103581402416,-38902.883177169315,-38902.883177169315,50435.99052364321,50435.99052364321,50435.99052364321,50435.99052364321,50435.99052364321,50435.99052364321,0.0,0.0,0.0,11533.107346473895,11319.636
2002-03-31,-38869.8863758065,10731.712294896332,11954.564152178958,-38869.8863758065,-38869.8863758065,50173.60393619391,50173.60393619391,50173.60393619391,50173.60393619391,50173.60393619391,50173.60393619391,0.0,0.0,0.0,11303.717560387413,11281.51
2002-06-30,-38836.52294331744,8877.014553297453,10116.98874884627,-38836.52294331744,-38836.52294331744,48363.71308905343,48363.71308905343,48363.71308905343,48363.71308905343,48363.71308905343,48363.71308905343,0.0,0.0,0.0,9527.190145735993,9490.454
2002-09-30,-38802.79287951827,11001.851282796812,12218.917207296981,-38802.79287951827,-38802.79287951827,50401.15715427022,50401.15715427022,50401.15715427022,50401.15715427022,50401.15715427022,50401.15715427022,0.0,0.0,0.0,11598.364274751955,11520.544
2002-12-31,-38769.0628157191,10884.413468519386,12129.763960458933,-38769.0628157191,-38769.0628157191,50284.95680467662,50284.95680467662,50284.95680467662,50284.95680467662,50284.95680467662,50284.95680467662,0.0,0.0,0.0,11515.89398895752,11491.331
2003-03-31,-38736.06601417644,10697.345250290968,11884.800435100253,-38736.06601417644,-38736.06601417644,49995.97499586799,49995.97499586799,49995.97499586799,49995.97499586799,49995.97499586799,49995.97499586799,0.0,0.0,0.0,11259.908981691551,11462.781
2003-06-30,-38702.7025816135,8931.269965159434,10188.21249655917,-38702.7025816135,-38702.7025816135,48292.00267237315,48292.00267237315,48292.00267237315,48292.00267237315,48292.00267237315,48292.00267237315,0.0,0.0,0.0,9589.30009075965,9721.918
2003-09-30,-38668.972517923496,10910.889581574162,12095.810906026229,-38668.972517923496,-38668.972517923496,50182.560620799726,50182.560620799726,50182.560620799726,50182.560620799726,50182.560620799726,50182.560620799726,0.0,0.0,0.0,11513.58810287623,11252.093
2003-12-31,-38635.242454233485,10802.242138558491,12092.5575689421,-38635.242454233485,-38635.242454233485,50046.77514976499,50046.77514976499,50046.77514976499,50046.77514976499,50046.77514976499,50046.77514976499,0.0,0.0,0.0,11411.532695531503,11189.81
2004-03-31,-38601.87902171228,10784.668142421777,12023.06613941675,-38601.87902171228,-38601.87902171228,50015.424877730184,50015.424877730184,50015.424877730184,50015.424877730184,50015.424877730184,50015.424877730184,0.0,0.0,0.0,11413.545856017903,11448.6813
2004-06-30,-38568.515589191076,8964.977756276605,10184.91850897457,-38568.515589191076,-38568.515589191076,48139.526593572584,48139.526593572584,48139.526593572584,48139.526593572584,48139.526593572584,48139.526593572584,0.0,0.0,0.0,9571.011004381508,9933.05125
2004-09-30,-38534.78552536007,11225.301553941365,12509.671549512552,-38534.78552536007,-38534.78552536007,50381.50182741474,50381.50182741474,50381.50182741474,50381.50182741474,50381.50182741474,50381.50182741474,0.0,0.0,0.0,11846.716302054665,11784.28976
2004-12-31,-38501.055461529075,11406.169653299421,12631.465827026952,-38501.055461529075,-38501.055461529075,50499.48766311877,50499.48766311877,50499.48766311877,50499.48766311877,50499.48766311877,50499.48766311877,0.0,0.0,0.0,11998.432201589698,11641.58214
2005-03-31,-38468.05865995526,11122.380190104313,12377.336138076895,-38468.05865995526,-38468.05865995526,50180.16313024051,50180.16313024051,50180.16313024051,50180.16313024051,50180.16313024051,50180.16313024051,0.0,0.0,0.0,11712.104470285245,11192.75234
2005-06-30,-38434.692621411,9258.679310027212,10511.946934586438,-38434.692621411,-38434.692621411,48312.84443836849,48312.84443836849,48312.84443836849,48312.84443836849,48312.84443836849,48312.84443836849,0.0,0.0,0.0,9878.151816957492,10174.05887
2005-09-30,-38400.95992310251,11454.807996809881,12658.029105515161,-38400.95992310251,-38400.95992310251,50467.390257687286,50467.390257687286,50467.390257687286,50467.390257687286,50467.390257687286,50467.390257687286,0.0,0.0,0.0,12066.430334584773,12219.56153
2005-12-31,-38367.223458617525,11462.183285027733,12685.51974805056,-38367.223458617525,-38367.223458617525,50435.990523641376,50435.990523641376,50435.990523641376,50435.990523641376,50435.990523641376,50435.990523641376,0.0,0.0,0.0,12068.76706502385,11980.93424
2006-03-31,-38334.22039553438,11210.615552485722,12480.841149454845,-38334.22039553438,-38334.22039553438,50173.60393619381,50173.60393619381,50173.60393619381,50173.60393619381,50173.60393619381,50173.60393619381,0.0,0.0,0.0,11839.38354065943,11852.14239
2006-06-30,-38300.850631750305,9464.007541956915,10693.774790125686,-38300.850631750305,-38300.850631750305,48363.71308905264,48363.71308905264,48363.71308905264,48363.71308905264,48363.71308905264,48363.71308905264,0.0,0.0,0.0,10062.862457302333,9530.98675
2006-09-30,-38267.09428686279,11504.867765533076,12739.6784152403,-38267.09428686279,-38267.09428686279,50401.15715427125,50401.15715427125,50401.15715427125,50401.15715427125,50401.15715427125,50401.15715427125,0.0,0.0,0.0,12134.062867408458,12205.15301
2006-12-31,-38233.337941975275,11475.820963120968,12684.695341291575,-38233.337941975275,-38233.337941975275,50284.9568046741,50284.9568046741,50284.9568046741,50284.9568046741,50284.9568046741,50284.9568046741,0.0,0.0,0.0,12051.618862698822,11812.0877
2007-03-31,-38200.31543067228,11192.596692234134,12414.960774866297,-38200.31543067228,-38200.31543067228,49995.97499587243,49995.97499587243,49995.97499587243,49995.97499587243,49995.97499587243,49995.97499587243,0.0,0.0,0.0,11795.659565200149,11022.22962
2007-06-30,-38166.88715100647,9530.877371282584,10740.440739534693,-38166.88715100647,-38166.88715100647,48292.00267237269,48292.00267237269,48292.00267237269,48292.00267237269,48292.00267237269,48292.00267237269,0.0,0.0,0.0,10125.11552136622,10407.25528
2007-09-30,-38133.09152760807,11458.157736381885,12662.27810906964,-38133.09152760807,-38133.09152760807,50182.5606207965,50182.5606207965,50182.5606207965,50182.5606207965,50182.5606207965,50182.5606207965,0.0,0.0,0.0,12049.469093188432,12218.66208
2007-12-31,-38099.28055671413,11349.093489832323,12522.224442424003,-38099.28055671413,-38099.28055671413,50046.77514976481,50046.77514976481,50046.77514976481,50046.77514976481,50046.77514976481,50046.77514976481,0.0,0.0,0.0,11947.49459305068,11985.33941
2008-03-31,-38065.8370963734,11295.377820700727,12590.294341581155,-38065.8370963734,-38065.8370963734,50015.424877729085,50015.424877729085,50015.424877729085,50015.424877729085,50015.424877729085,50015.424877729085,0.0,0.0,0.0,11949.587781355687,12031.01364
2008-06-30,-38032.39363603265,9505.528313159703,10722.56858359901,-38032.39363603265,-38032.39363603265,48139.52659357591,48139.52659357591,48139.52659357591,48139.52659357591,48139.52659357591,48139.52659357591,0.0,0.0,0.0,10107.132957543261,10206.63593
2008-09-30,-37998.57162667551,11776.384943587609,13010.205566813425,-37998.57162667551,-37998.57162667551,50381.50182741748,50381.50182741748,50381.50182741748,50381.50182741748,50381.50182741748,50381.50182741748,0.0,0.0,0.0,12382.930200741968,12299.20228
2008-12-31,-37964.74961731837,11930.971572860102,13163.156024886635,-37964.74961731837,-37964.74961731837,50499.48766312047,50499.48766312047,50499.48766312047,50499.48766312047,50499.48766312047,50499.48766312047,0.0,0.0,0.0,12534.7380458021,11963.59648
2009-03-31,-37931.66286903421,11597.027464826755,12859.26776319001,-37931.66286903421,-37931.66286903421,50180.16313023964,50180.16313023964,50180.16313023964,50180.16313023964,50180.16313023964,50180.16313023964,0.0,0.0,0.0,12248.50026120543,12217.92481
2009-06-30,-37898.20849020633,9773.471760770435,11013.407566086034,-37898.20849020633,-37898.20849020633,48312.84443837173,48312.84443837173,48312.84443837173,48312.84443837173,48312.84443837173,48312.84443837173,0.0,0.0,0.0,10414.6359481654,8905.12297
2009-09-30,-37864.38648084188,11996.332891485288,13191.7458866642,-37864.38648084188,-37864.38648084188,50467.39025768889,50467.39025768889,50467.39025768889,50467.39025768889,50467.39025768889,50467.39025768889,0.0,0.0,0.0,12603.003776847007,11910.60252
2009-12-31,-37830.56446197384,12049.182125683681,13200.427931032023,-37830.56446197384,-37830.56446197384,50435.99052364109,50435.99052364109,50435.99052364109,50435.99052364109,50435.99052364109,50435.99052364109,0.0,0.0,0.0,12605.426061667255,12995.56217
